CORR	DIST	REPR	IDIO	FREQ
[zː] : [ʣː]	0.001	0.536	0.002	4|1473
[ʣː] : [zː]	-0.001	0.595	-0.002	1473|4
[o] : [-]	-0.003	0.989	-0.005	59374|0
[dːʲ] : [ʎː]	-0.003	0.563	-0.006	7|2511
[ʎː] : [gːʲ]	-0.004	0.523	-0.007	2511|17
[ɲː] : [ɲ]	-0.006	0.748	-0.012	2289|81
[mː] : [m]	-0.006	0.993	-0.013	430|10648
[h] : [-]	-0.008	0.878	-0.015	1996|0
[j] : [tʲ]	-0.008	0.675	-0.017	7360|71
[t] : [tʲ]	-0.008	0.673	-0.017	15698|71
[ʣː] : [ʦː]	-0.009	0.964	-0.017	1473|3356
[bː] : [b]	-0.011	0.989	-0.022	452|9134
[-] : [w]	-0.012	0.987	-0.024	0|1672
[z] : [s]	-0.018	0.956	-0.037	1316|13816
[ə] : [o]	-0.021	0.609	-0.044	31|59374
[kː] : [kːʲ]	-0.026	0.928	-0.053	4560|1170
[ʦː] : [ʦ]	-0.028	0.967	-0.057	3356|1636
[dː] : [t]	-0.028	0.539	-0.059	15|15698
[k] : [-]	-0.031	0.961	-0.063	10703|0
[dʲ] : [gʲ]	-0.034	0.594	-0.072	22|529
[ɲ] : [n]	-0.036	0.703	-0.075	81|24546
[nː] : [ɲ]	-0.037	0.749	-0.078	810|81
[-] : [e]	-0.038	0.985	-0.080	0|24334
[-] : [j]	-0.040	0.921	-0.084	0|7360
[x] : [h]	-0.040	0.601	-0.085	333|1996
[dːʲ] : [ʎ]	-0.040	0.465	-0.087	7|24
[kː] : [-]	-0.042	0.971	-0.087	4560|0
[n] : [õ]	-0.041	0.646	-0.088	24546|11
[x] : [-]	-0.041	0.518	-0.088	333|0
[dʲ] : [d]	-0.042	0.605	-0.090	22|6797
[ʃ] : [s]	-0.048	0.946	-0.100	3407|13816
[j] : [kʲ]	-0.051	0.895	-0.107	7360|1096
[r] : [rː]	-0.055	0.956	-0.117	26812|540
[ʣ] : [ʣː]	-0.056	0.967	-0.119	800|1473
[j] : [kːʲ]	-0.061	0.911	-0.130	7360|1170
[ʣ] : [ʦ]	-0.061	0.972	-0.131	800|1636
[ʎ] : [l]	-0.059	0.542	-0.133	24|19045
[tʲ] : [kʲ]	-0.062	0.670	-0.137	71|1096
[ŋ] : [n]	-0.062	0.591	-0.138	27|24546
[ʎː] : [ʎ]	-0.077	0.722	-0.172	2511|24
[ʤ] : [gʲ]	-0.084	0.944	-0.185	1179|529
[j] : [gʲ]	-0.085	0.919	-0.188	7360|529
[bː] : [β]	-0.084	0.722	-0.190	452|238
[i] : [ə]	-0.078	0.423	-0.191	26193|31
[b] : [β]	-0.089	0.721	-0.204	9134|238
[ʦ] : [s]	-0.094	0.954	-0.209	1636|13816
[g] : [-]	-0.107	0.939	-0.241	7182|0
[ʦ] : [sː]	-0.110	0.965	-0.248	1636|1388
[ʒ] : [ʃ]	-0.112	0.912	-0.257	564|3407
[gːʲ] : [ʎ]	-0.102	0.452	-0.265	17|24
[ʃ] : [ʧ]	-0.146	0.939	-0.346	3407|8160
[lː] : [ɖ]	-0.136	0.557	-0.358	6313|9
[g] : [ɣ]	-0.155	0.711	-0.396	7182|785
[g] : [dʲ]	-0.153	0.621	-0.407	7182|22
[d] : [ð]	-0.167	0.681	-0.443	6797|775
[dː] : [θ]	-0.152	0.465	-0.454	15|3653
[k] : [x]	-0.189	0.651	-0.531	10703|333
[ə] : [e]	-0.188	0.609	-0.543	31|24334
[ʒ] : [ʤ]	-0.243	0.966	-0.649	564|1179
[p] : [ɸ]	-0.238	0.775	-0.686	12429|1666
[k] : [h]	-0.265	0.821	-0.784	10703|1996
[t] : [θ]	-0.288	0.732	-0.950	15698|3653
