CORR	DIST	REPR	IDIO	FREQ
[n] : [õ]	-0.043	0.479	-0.094	24546|11
[n] : [ŋ]	-0.046	0.444	-0.103	24546|27
[j] : [kːʲ]	-0.052	0.925	-0.110	7360|1170
[ʦ] : [ʣ]	-0.056	0.972	-0.119	1636|800
[ʒ] : [ʤ]	-0.077	0.969	-0.168	564|1179
[ʦː] : [ʣː]	-0.078	0.956	-0.169	3356|1473
[s] : [ʦ]	-0.080	0.968	-0.174	13816|1636
[o] : [-]	-0.095	0.983	-0.209	59374|0
[β] : [b]	-0.099	0.804	-0.225	238|9134
[j] : [kʲ]	-0.107	0.909	-0.241	7360|1096
[ʃ] : [s]	-0.109	0.939	-0.245	3407|13816
[n] : [ɲ]	-0.106	0.731	-0.247	24546|81
[θ] : [d]	-0.113	0.735	-0.266	3653|6797
[ʃ] : [ʒ]	-0.122	0.923	-0.281	3407|564
[ɣ] : [g]	-0.124	0.659	-0.305	785|7182
[h] : [x]	-0.125	0.531	-0.328	1996|333
[x] : [k]	-0.134	0.717	-0.329	333|10703
[-] : [j]	-0.157	0.925	-0.377	0|7360
[ʣː] : [ʣ]	-0.175	0.954	-0.429	1473|800
[rː] : [r]	-0.176	0.876	-0.439	540|26812
[ɸ] : [p]	-0.190	0.760	-0.508	1666|12429
[ð] : [d]	-0.188	0.691	-0.516	775|6797
[h] : [k]	-0.243	0.703	-0.744	1996|10703
[-] : [w]	-0.312	0.989	-0.913	0|1672
[θ] : [t]	-0.308	0.728	-1.067	3653|15698
