CORR	DIST	REPR	CHAR	FREQ
[ts] : [sː]	0.479	0.978	0.643	1649|1396
[dʒː] : [ʒ]	0.282	0.960	0.436	1272|568
[h] : [k]	0.279	0.903	0.426	1996|10764
[-] : [h]	0.261	0.834	0.397	0|1996
[θ] : [d]	0.243	0.854	0.379	3654|6844
[ʃ] : [ʒ]	0.231	0.931	0.370	3427|568
[ɲː] : [ɲ]	0.208	0.752	0.326	2303|82
[-] : [x]	0.204	0.661	0.312	0|357
[x] : [k]	0.197	0.723	0.309	357|10764
[z] : [ʒ]	0.171	0.946	0.290	1325|568
[β] : [bː]	0.173	0.824	0.286	238|454
[gʲ] : [-]	0.158	0.925	0.270	534|0
[dʒ] : [ʒ]	0.156	0.958	0.268	1186|568
[k] : [kʲ]	0.134	0.926	0.234	10764|1103
[z] : [dz]	0.126	0.977	0.224	1325|805
[k] : [tʲ]	0.129	0.717	0.218	10764|75
[ɸ] : [pː]	0.118	0.884	0.208	1666|1495
[kʲ] : [tʲ]	0.120	0.684	0.205	1103|75
[s] : [ʃ]	0.108	0.922	0.193	13908|3427
[ts] : [s]	0.107	0.971	0.192	1649|13908
[tʲ] : [t]	0.105	0.765	0.185	75|15823
[kː] : [kʲː]	0.102	0.943	0.184	4585|1177
[-] : [tʲ]	0.104	0.706	0.181	0|75
[j] : [-]	0.098	0.926	0.178	7339|0
[ɲ] : [nː]	0.099	0.775	0.176	82|816
[b] : [bː]	0.096	0.981	0.175	9197|454
[dzː] : [dz]	0.093	0.970	0.170	1485|805
[j] : [tʲ]	0.088	0.710	0.156	7339|75
[-] : [w]	0.085	0.954	0.155	0|1683
[θ] : [t]	0.073	0.845	0.134	3654|15823
[dz] : [ts]	0.069	0.968	0.128	805|1649
[dʒː] : [dʒ]	0.068	0.981	0.127	1272|1186
[ɸ] : [β]	0.068	0.699	0.124	1666|238
[tsː] : [sː]	0.057	0.981	0.108	3376|1396
[tʃ] : [ʃ]	0.055	0.921	0.104	8213|3427
[ð] : [d]	0.055	0.795	0.103	775|6844
[ɸ] : [p]	0.050	0.869	0.095	1666|12518
[ɲ] : [n]	0.049	0.777	0.093	82|24711
[r] : [rː]	0.046	0.965	0.089	26980|545
[tsː] : [ts]	0.042	0.962	0.081	3376|1649
[β] : [b]	0.042	0.828	0.079	238|9197
[g] : [gʲ]	0.036	0.941	0.070	7232|534
[z] : [s]	0.035	0.968	0.067	1325|13908
[θ] : [h]	0.020	0.770	0.040	3654|1996
[tsː] : [dzː]	0.014	0.965	0.028	3376|1485
[ɣ] : [g]	0.011	0.791	0.021	785|7232
[kː] : [x]	0.010	0.673	0.019	4585|357
[x] : [h]	0.008	0.662	0.016	357|1996
[m] : [mː]	0.003	0.994	0.006	10715|433
[h] : [g]	0.003	0.907	0.006	1996|7232
[d] : [gʲ]	0.002	0.935	0.005	6844|534
[x] : [g]	0.002	0.726	0.003	357|7232
[gʲ] : [d]	-0.002	0.938	-0.005	534|6844
[mː] : [m]	-0.003	0.994	-0.007	433|10715
[h] : [x]	-0.008	0.646	-0.016	1996|357
[g] : [ɣ]	-0.011	0.779	-0.022	7232|785
[dzː] : [tsː]	-0.014	0.966	-0.029	1485|3376
[s] : [z]	-0.035	0.953	-0.072	13908|1325
[gʲ] : [g]	-0.036	0.942	-0.075	534|7232
[b] : [β]	-0.042	0.764	-0.088	9197|238
[rː] : [r]	-0.046	0.960	-0.098	545|26980
[n] : [ɲ]	-0.049	0.753	-0.106	24711|82
[p] : [ɸ]	-0.050	0.838	-0.107	12518|1666
[ʃ] : [tʃ]	-0.055	0.949	-0.118	3427|8213
[d] : [ð]	-0.055	0.748	-0.119	6844|775
[sː] : [tsː]	-0.057	0.986	-0.121	1396|3376
[ts] : [dz]	-0.069	0.979	-0.147	1649|805
[t] : [θ]	-0.073	0.799	-0.160	15823|3654
[bː] : [b]	-0.096	0.992	-0.213	454|9197
[-] : [j]	-0.098	0.926	-0.220	0|7339
[nː] : [ɲ]	-0.099	0.752	-0.228	816|82
[kʲː] : [kː]	-0.102	0.927	-0.229	1177|4585
[s] : [ts]	-0.107	0.965	-0.240	13908|1649
[ʃ] : [s]	-0.108	0.953	-0.243	3427|13908
[t] : [tʲ]	-0.105	0.706	-0.247	15823|75
[tʲ] : [kʲ]	-0.120	0.756	-0.286	75|1103
[dz] : [z]	-0.126	0.956	-0.291	805|1325
[tʲ] : [k]	-0.129	0.773	-0.308	75|10764
[kʲ] : [k]	-0.134	0.894	-0.314	1103|10764
[ʒ] : [dʒ]	-0.156	0.974	-0.371	568|1186
[k] : [x]	-0.197	0.670	-0.557	10764|357
[ɲ] : [ɲː]	-0.208	0.775	-0.567	82|2303
[k] : [h]	-0.279	0.848	-0.831	10764|1996
