CORR	DIST	REPR	IDIO	FREQ
[ʒ] : [ʤː]	0.243	0.949	0.387	564|1265
[-] : [ɲ]	0.278	0.544	0.368	0|81
[k] : [h]	0.207	0.883	0.336	10703|1996
[t] : [θ]	0.209	0.854	0.335	15698|3653
[ʤː] : [ʤ]	0.199	0.988	0.331	1265|1179
[ʒ] : [ʤ]	0.188	0.941	0.313	564|1179
[ɲː] : [nː]	0.184	0.991	0.311	2289|810
[ʒ] : [z]	0.176	0.920	0.296	564|1316
[h] : [-]	0.182	0.686	0.288	1996|0
[bː] : [β]	0.171	0.788	0.282	452|238
[p] : [ɸ]	0.165	0.877	0.278	12429|1666
[x] : [-]	0.186	0.484	0.269	333|0
[-] : [d]	0.150	0.929	0.258	0|6797
[ʦː] : [sː]	0.143	0.980	0.250	3356|1388
[ʃ] : [ʧ]	0.143	0.911	0.247	3407|8160
[ʦ] : [s]	0.139	0.970	0.243	1636|13816
[ʃ] : [ʒ]	0.137	0.903	0.238	3407|564
[d] : [ð]	0.137	0.792	0.234	6797|775
[k] : [x]	0.134	0.667	0.223	10703|333
[ʣ] : [ʦ]	0.123	0.966	0.218	800|1636
[ʣ] : [ʣː]	0.120	0.970	0.214	800|1473
[g] : [ɣ]	0.121	0.806	0.210	7182|785
[o] : [-]	0.111	0.983	0.200	59374|0
[ʤ] : [gʲ]	0.106	0.946	0.191	1179|529
[ʣ] : [z]	0.104	0.962	0.187	800|1316
[ʦ] : [sː]	0.102	0.975	0.185	1636|1388
[ð] : [θ]	0.103	0.627	0.177	775|3653
[bː] : [b]	0.095	0.976	0.172	452|9134
[b] : [β]	0.087	0.795	0.157	9134|238
[ʦː] : [ʦ]	0.085	0.960	0.156	3356|1636
[-] : [i]	0.064	0.992	0.121	0|26193
[fː] : [-]	0.061	0.997	0.115	183|0
[s] : [z]	0.048	0.954	0.091	13816|1316
[v] : [-]	0.046	0.999	0.088	3803|0
[ʣː] : [ʦː]	0.044	0.964	0.085	1473|3356
[tʲ] : [kʲ]	0.044	0.675	0.082	71|1096
[nː] : [ɲ]	0.043	0.703	0.081	810|81
[ɲ] : [ɲː]	0.040	0.773	0.076	81|2289
[bː] : [pː]	0.036	0.982	0.069	452|1484
[ɸ] : [β]	0.036	0.649	0.069	1666|238
[ɲ] : [n]	0.034	0.774	0.065	81|24546
[x] : [kː]	0.033	0.645	0.064	333|4560
[-] : [j]	0.030	0.927	0.058	0|7360
[-] : [kː]	0.029	0.967	0.057	0|4560
[gʲ] : [g]	0.029	0.928	0.056	529|7182
[x] : [h]	0.028	0.613	0.054	333|1996
[e] : [-]	0.027	0.985	0.053	24334|0
[j] : [gʲ]	0.027	0.930	0.052	7360|529
[rː] : [r]	0.026	0.964	0.051	540|26812
[d] : [θ]	0.023	0.862	0.045	6797|3653
[w] : [-]	0.023	0.986	0.045	1672|0
[tʲ] : [t]	0.019	0.686	0.037	71|15698
[j] : [kːʲ]	0.015	0.916	0.029	7360|1170
[j] : [kʲ]	0.014	0.901	0.028	7360|1096
[gʲ] : [ɣ]	0.013	0.787	0.026	529|785
[fː] : [f]	0.011	0.998	0.022	183|4786
[kː] : [kːʲ]	0.011	0.937	0.022	4560|1170
[tʲ] : [j]	0.011	0.689	0.022	71|7360
[g] : [-]	0.011	0.966	0.021	7182|0
[-] : [k]	0.010	0.949	0.020	0|10703
[s] : [ʃ]	0.005	0.936	0.011	13816|3407
[mː] : [m]	0.003	0.996	0.005	430|10648
[kʲ] : [kːʲ]	0.000	0.888	0.000	1096|1170
[m] : [mː]	-0.003	0.992	-0.005	10648|430
[ʃ] : [s]	-0.005	0.910	-0.011	3407|13816
[k] : [-]	-0.010	0.936	-0.020	10703|0
[-] : [g]	-0.011	0.944	-0.022	0|7182
[kːʲ] : [kː]	-0.011	0.928	-0.022	1170|4560
[j] : [tʲ]	-0.011	0.673	-0.022	7360|71
[kʲ] : [j]	-0.014	0.896	-0.029	1096|7360
[kːʲ] : [j]	-0.015	0.909	-0.030	1170|7360
[t] : [tʲ]	-0.019	0.678	-0.039	15698|71
[-] : [w]	-0.023	0.990	-0.047	0|1672
[θ] : [d]	-0.023	0.714	-0.048	3653|6797
[r] : [rː]	-0.026	0.967	-0.054	26812|540
[gʲ] : [j]	-0.027	0.919	-0.055	529|7360
[-] : [e]	-0.027	0.988	-0.056	0|24334
[h] : [x]	-0.028	0.590	-0.060	1996|333
[kː] : [-]	-0.029	0.966	-0.060	4560|0
[j] : [-]	-0.030	0.923	-0.062	7360|0
[n] : [ɲ]	-0.034	0.704	-0.071	24546|81
[ɲː] : [ɲ]	-0.040	0.703	-0.084	2289|81
[ɲ] : [nː]	-0.043	0.772	-0.091	81|810
[ʦː] : [ʣː]	-0.044	0.964	-0.093	3356|1473
[kʲ] : [tʲ]	-0.044	0.658	-0.093	1096|71
[z] : [s]	-0.048	0.952	-0.101	1316|13816
[β] : [b]	-0.087	0.698	-0.198	238|9134
[b] : [bː]	-0.095	0.988	-0.209	9134|452
[sː] : [ʦ]	-0.102	0.967	-0.229	1388|1636
[ʦ] : [ʣ]	-0.123	0.977	-0.281	1636|800
[ɣ] : [g]	-0.121	0.694	-0.293	785|7182
[ʒ] : [ʃ]	-0.137	0.903	-0.322	564|3407
[s] : [ʦ]	-0.139	0.958	-0.324	13816|1636
[ʧ] : [ʃ]	-0.143	0.924	-0.337	8160|3407
[x] : [k]	-0.134	0.641	-0.339	333|10703
[ð] : [d]	-0.137	0.671	-0.346	775|6797
[ɸ] : [p]	-0.165	0.763	-0.423	1666|12429
[z] : [ʒ]	-0.176	0.944	-0.434	1316|564
[β] : [bː]	-0.171	0.699	-0.454	238|452
[-] : [h]	-0.182	0.835	-0.466	0|1996
[ʤ] : [ʒ]	-0.188	0.955	-0.468	1179|564
[h] : [k]	-0.207	0.796	-0.561	1996|10703
[-] : [x]	-0.186	0.518	-0.580	0|333
[θ] : [t]	-0.209	0.710	-0.592	3653|15698
