CORR	DIST	REPR	IDIO	FREQ
[ɲ] : [n]	-0.047	0.680	-0.101	81|24546
[rː] : [r]	-0.048	0.965	-0.101	540|26812
[s] : [ʃ]	-0.049	0.908	-0.104	13816|3407
[nː] : [ɲ]	-0.052	0.780	-0.112	810|81
[e] : [-]	-0.054	0.988	-0.115	24334|0
[j] : [gʲ]	-0.057	0.917	-0.123	7360|529
[-] : [j]	-0.078	0.923	-0.172	0|7360
[bː] : [b]	-0.080	0.988	-0.175	452|9134
[ʣ] : [z]	-0.094	0.960	-0.207	800|1316
[ʣ] : [ʦ]	-0.102	0.977	-0.227	800|1636
[tʲ] : [kʲ]	-0.100	0.659	-0.235	71|1096
[b] : [β]	-0.107	0.691	-0.252	9134|238
[ʦ] : [s]	-0.126	0.958	-0.289	1636|13816
[ʒ] : [z]	-0.136	0.949	-0.318	564|1316
[ʦ] : [sː]	-0.142	0.966	-0.333	1636|1388
[g] : [ɣ]	-0.140	0.694	-0.352	7182|785
[k] : [x]	-0.148	0.645	-0.386	10703|333
[bː] : [β]	-0.154	0.691	-0.395	452|238
[d] : [ð]	-0.164	0.660	-0.438	6797|775
[h] : [-]	-0.204	0.845	-0.538	1996|0
[p] : [ɸ]	-0.200	0.754	-0.543	12429|1666
[k] : [h]	-0.224	0.804	-0.622	10703|1996
[x] : [-]	-0.201	0.518	-0.654	333|0
[ʃ] : [ʧ]	-0.246	0.927	-0.671	3407|8160
[t] : [θ]	-0.247	0.704	-0.761	15698|3653
[ʒ] : [ʤ]	-0.284	0.957	-0.806	564|1179
