CORR	DIST	REPR	CHAR	FREQ
[ɲː] : [ɲ]	0.515	0.753	0.612	2303|82
[θ] : [t]	0.404	0.926	0.563	3654|15823
[sː] : [ts]	0.362	0.975	0.528	1396|1649
[ɸ] : [p]	0.332	0.947	0.492	1666|12519
[h] : [k]	0.298	0.932	0.452	1996|10764
[tʃ] : [ʃ]	0.221	0.931	0.357	8213|3427
[dʒ] : [ʒ]	0.203	0.957	0.335	1186|568
[ɣ] : [g]	0.179	0.868	0.297	785|7232
[ð] : [d]	0.178	0.848	0.295	775|6845
[x] : [k]	0.185	0.691	0.292	357|10764
[ts] : [dz]	0.159	0.963	0.273	1649|805
[d] : [gʲ]	0.155	0.923	0.265	6845|534
[-] : [tʲ]	0.158	0.695	0.257	0|75
[β] : [bː]	0.147	0.842	0.251	238|454
[t] : [kʲ]	0.145	0.905	0.250	15823|1103
[r] : [l]	0.136	0.973	0.238	26981|19175
[h] : [x]	0.139	0.685	0.231	1996|357
[s] : [ts]	0.126	0.965	0.223	13908|1649
[ʃ] : [s]	0.118	0.950	0.211	3427|13908
[kʲː] : [kː]	0.113	0.954	0.202	1177|4585
[β] : [b]	0.113	0.845	0.200	238|9197
[kʲ] : [k]	0.109	0.924	0.195	1103|10764
[mː] : [m]	0.108	0.991	0.194	433|10715
[tsː] : [sː]	0.104	0.985	0.188	3376|1396
[dz] : [z]	0.102	0.962	0.185	805|1325
[gʲ] : [g]	0.093	0.953	0.169	534|7232
[ʃ] : [ʃː]	0.091	0.961	0.166	3427|1385
[-] : [j]	0.088	0.937	0.161	0|7339
[ɸ] : [β]	0.090	0.732	0.160	1666|238
[h] : [-]	0.087	0.917	0.159	1996|0
[dzː] : [dz]	0.084	0.973	0.154	1485|805
[ʒ] : [dʒː]	0.082	0.987	0.151	568|1272
[bː] : [b]	0.079	0.987	0.146	454|9197
[s] : [z]	0.076	0.952	0.140	13908|1325
[tsː] : [dzː]	0.072	0.965	0.133	3376|1485
[tʲ] : [k]	0.073	0.735	0.133	75|10764
[t] : [tʲ]	0.071	0.697	0.129	15823|75
[g] : [h]	0.068	0.824	0.126	7232|1996
[-] : [w]	0.063	0.965	0.118	0|1683
[-] : [gʲ]	0.055	0.936	0.104	0|534
[tsː] : [ts]	0.055	0.972	0.104	3376|1649
[rː] : [r]	0.053	0.973	0.100	545|26981
[h] : [θ]	0.051	0.756	0.096	1996|3654
[ɲ] : [n]	0.046	0.803	0.087	82|24711
[ʒ] : [ʃ]	0.044	0.924	0.084	568|3427
[z] : [ʒ]	0.035	0.931	0.067	1325|568
[pː] : [ɸ]	0.030	0.802	0.058	1495|1666
[d] : [θ]	0.029	0.751	0.056	6845|3654
[x] : [ɣ]	0.029	0.573	0.056	357|785
[tʲ] : [kʲ]	0.029	0.713	0.055	75|1103
[dʒ] : [dʒː]	0.028	0.995	0.055	1186|1272
[ɲː] : [nː]	0.013	0.995	0.026	2303|816
[j] : [tʲ]	0.004	0.693	0.009	7339|75
[dʒː] : [dʒ]	-0.028	0.981	-0.058	1272|1186
[kʲ] : [tʲ]	-0.029	0.687	-0.060	1103|75
[θ] : [d]	-0.029	0.936	-0.060	3654|6845
[ʒ] : [z]	-0.035	0.957	-0.072	568|1325
[ʃ] : [ʒ]	-0.044	0.925	-0.093	3427|568
[n] : [ɲ]	-0.046	0.753	-0.098	24711|82
[r] : [rː]	-0.053	0.958	-0.111	26981|545
[dzː] : [tsː]	-0.072	0.968	-0.155	1485|3376
[tʲ] : [t]	-0.071	0.735	-0.157	75|15823
[k] : [tʲ]	-0.073	0.703	-0.163	10764|75
[z] : [s]	-0.076	0.956	-0.165	1325|13908
[b] : [bː]	-0.079	0.981	-0.171	9197|454
[j] : [-]	-0.088	0.920	-0.195	7339|0
[g] : [gʲ]	-0.093	0.934	-0.205	7232|534
[m] : [mː]	-0.108	0.995	-0.241	10715|433
[k] : [kʲ]	-0.109	0.917	-0.247	10764|1103
[kː] : [kʲː]	-0.113	0.932	-0.257	4585|1177
[b] : [β]	-0.113	0.748	-0.267	9197|238
[s] : [ʃ]	-0.118	0.920	-0.272	13908|3427
[ts] : [s]	-0.126	0.957	-0.290	1649|13908
[x] : [h]	-0.139	0.627	-0.357	357|1996
[gʲ] : [d]	-0.155	0.951	-0.370	534|6845
[dz] : [ts]	-0.159	0.975	-0.381	805|1649
[g] : [ɣ]	-0.179	0.733	-0.474	7232|785
[d] : [ð]	-0.178	0.710	-0.477	6845|775
[k] : [x]	-0.185	0.697	-0.505	10764|357
[ʒ] : [dʒ]	-0.203	0.971	-0.513	568|1186
[ʃ] : [tʃ]	-0.221	0.941	-0.577	3427|8213
[k] : [h]	-0.298	0.838	-0.927	10764|1996
[p] : [ɸ]	-0.332	0.795	-1.141	12519|1666
[t] : [θ]	-0.404	0.762	-1.721	15823|3654
