CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[gʲ] : [dʲ]	0.645	0.647	0.646	6.310	529|22
[zː] : [ʣː]	0.485	0.570	0.524	5.617	4|1473
[kːʲ] : [tːʲ]	0.563	0.556	0.559	5.573	1170|22
[ʎː] : [ɟ]	0.409	0.568	0.476	5.523	2511|1
[ʦ] : [sː]	0.431	0.972	0.597	5.508	1636|1388
[vː] : [v]	0.274	0.999	0.430	5.278	6|3803
[dːʲ] : [ʎ]	0.276	0.404	0.328	5.223	7|24
[dːʲ] : [gːʲ]	0.287	0.387	0.330	5.079	7|17
[zː] : [z]	0.360	0.566	0.440	5.017	4|1316
[ɣ] : [gː]	0.338	0.465	0.391	5.005	785|2
[ʎ] : [gːʲ]	0.296	0.455	0.358	5.004	24|17
[ɲ] : [-]	0.308	0.515	0.385	4.853	81|0
[gːʲ] : [ʤː]	0.363	0.529	0.430	4.780	17|1265
[nː] : [ɲː]	0.292	0.990	0.451	4.696	810|2289
[kː] : [gː]	0.303	0.527	0.385	4.391	4560|2
[u] : [u̞]	0.305	0.570	0.397	4.389	9128|1
[lː] : [ɖ]	0.390	0.485	0.432	4.365	6313|9
[s] : [ɕ]	0.277	0.571	0.373	3.933	13816|2
[ʤː] : [ʒ]	0.201	0.962	0.333	3.907	1265|564
[g] : [gː]	0.234	0.524	0.324	3.737	7182|2
[tː] : [dː]	0.255	0.501	0.338	3.669	5225|15
[l] : [ḙ]	0.287	0.495	0.364	3.508	19045|5
[j] : [tːʲ]	0.256	0.563	0.352	3.463	7360|22
[d] : [dː]	0.246	0.493	0.328	3.393	6797|15
[z] : [ʣ]	0.212	0.965	0.347	3.361	1316|800
[zː] : [ʦː]	0.182	0.575	0.276	3.258	4|3356
[g] : [dʲ]	0.199	0.649	0.304	3.080	7182|22
[sː] : [ʦː]	0.222	0.981	0.362	3.021	1388|3356
[dʲ] : [d]	0.171	0.599	0.266	2.979	22|6797
[ð] : [dː]	0.130	0.441	0.200	2.748	775|15
[z] : [ʒ]	0.166	0.938	0.282	2.736	1316|564
[ʦ] : [ʣː]	0.128	0.954	0.225	2.578	1636|1473
[v] : [-]	0.162	0.999	0.279	2.552	3803|0
[tʲ] : [t]	0.145	0.697	0.240	2.421	71|15698
[ʃ] : [ɕ]	0.096	0.559	0.164	2.407	3407|2
[ə] : [e]	0.194	0.455	0.272	2.373	31|24334
[-] : [ɟ]	0.083	0.399	0.138	2.318	0|1
[-] : [fː]	0.113	0.998	0.203	2.259	0|183
[b] : [bː]	0.156	0.982	0.270	2.225	9134|452
[-] : [gː]	0.085	0.362	0.138	2.218	0|2
[β] : [ɸ]	0.119	0.698	0.204	2.202	238|1666
[a] : [æ]	0.170	0.495	0.253	2.196	70241|6
[kː] : [tːʲ]	0.108	0.569	0.181	2.142	4560|22
[zː] : [s]	0.111	0.573	0.186	2.119	4|13816
[-] : [x]	0.130	0.480	0.204	1.954	0|333
[-] : [ɖ]	0.077	0.321	0.125	1.866	0|9
[ʤ] : [ʤː]	0.108	0.988	0.195	1.864	1179|1265
[-] : [h]	0.174	0.788	0.285	1.861	0|1996
[-] : [o]	0.211	0.988	0.348	1.827	0|59374
[ʣː] : [ʣ]	0.092	0.967	0.168	1.742	1473|800
[ə] : [o]	0.142	0.455	0.217	1.738	31|59374
[ʤ] : [ʒ]	0.171	0.954	0.290	1.676	1179|564
[l] : [ɖ]	0.083	0.482	0.142	1.650	19045|9
[dː] : [t]	0.102	0.540	0.171	1.569	15|15698
[ə] : [i]	0.099	0.455	0.162	1.549	31|26193
[ʎ] : [ʎː]	0.146	0.715	0.242	1.419	24|2511
[dː] : [θ]	0.093	0.499	0.157	1.389	15|3653
[θ] : [d]	0.091	0.823	0.164	1.317	3653|6797
[ɸ] : [pː]	0.071	0.856	0.131	1.310	1666|1484
[kː] : [-]	0.119	0.968	0.212	1.281	4560|0
[dː] : [h]	0.049	0.515	0.089	1.281	15|1996
[-] : [e]	0.107	0.987	0.193	1.274	0|24334
[β] : [bː]	0.060	0.781	0.111	1.256	238|452
[s] : [ʃ]	0.113	0.922	0.201	1.240	13816|3407
[ʦ] : [ʦː]	0.069	0.967	0.128	1.199	1636|3356
[k] : [-]	0.108	0.941	0.193	1.168	10703|0
[w] : [-]	0.072	0.987	0.134	1.160	1672|0
[m] : [mː]	0.064	0.993	0.121	1.109	10648|430
[j] : [tʲ]	0.109	0.689	0.189	1.087	7360|71
[n] : [ɲ]	0.070	0.761	0.129	1.005	24546|81
[ʤ] : [dʲ]	0.036	0.655	0.069	0.980	1179|22
[sː] : [ʣː]	0.046	0.967	0.088	0.940	1388|1473
[r] : [rː]	0.071	0.967	0.133	0.940	26812|540
