CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[gʲ] : [dʲ]	0.059	0.642	0.108	0.192	529|22
[tʲ] : [j]	-0.020	0.678	-0.041	0.169	71|7360
[dː] : [θ]	-0.021	0.410	-0.045	0.153	15|3653
[ʣː] : [z]	0.006	0.942	0.013	0.151	1473|1316
[d] : [θ]	0.003	0.706	0.005	0.120	6797|3653
[t] : [tʲ]	0.012	0.691	0.024	0.086	15698|71
[ʎː] : [gːʲ]	-0.091	0.575	-0.216	0.074	2511|17
[ɣ] : [gʲ]	0.002	0.793	0.004	0.057	785|529
[õ] : [n]	0.023	0.507	0.044	0.022	11|24546
[ŋ] : [n]	0.046	0.464	0.084	0.011	27|24546
[x] : [h]	-0.028	0.594	-0.058	0.011	333|1996
[i̞] : [i]	-0.010	0.551	-0.020	0.002	4|26193
[ɲː] : [ɲ]	0.038	0.782	0.073	0.001	2289|81
[ɲ] : [ɲː]	-0.038	0.678	-0.081	-0.001	81|2289
[i] : [i̞]	0.010	0.578	0.019	-0.002	26193|4
[h] : [x]	0.028	0.618	0.053	-0.011	1996|333
[n] : [ŋ]	-0.046	0.552	-0.101	-0.011	24546|27
[n] : [õ]	-0.023	0.671	-0.047	-0.022	24546|11
[gːʲ] : [ʎː]	0.091	0.520	0.155	-0.075	17|2511
[tʲ] : [t]	-0.012	0.684	-0.025	-0.088	71|15698
[θ] : [d]	-0.003	0.877	-0.005	-0.124	3653|6797
[θ] : [dː]	0.021	0.526	0.041	-0.158	3653|15
[j] : [tʲ]	0.020	0.694	0.039	-0.175	7360|71
[dʲ] : [gʲ]	-0.059	0.580	-0.131	-0.198	22|529
[j] : [kʲ]	-0.027	0.891	-0.056	-0.215	7360|1096
[tʲ] : [kʲ]	-0.100	0.659	-0.235	-0.232	71|1096
[m] : [mː]	-0.012	0.996	-0.025	-0.243	10648|430
[ʎ] : [l]	0.004	0.652	0.007	-0.318	24|19045
[b] : [β]	-0.107	0.691	-0.252	-0.359	9134|238
[-] : [k]	-0.008	0.935	-0.016	-0.394	0|10703
[j] : [kːʲ]	-0.040	0.905	-0.084	-0.394	7360|1170
[d] : [ð]	-0.164	0.660	-0.438	-0.415	6797|775
[g] : [-]	-0.035	0.942	-0.073	-0.415	7182|0
[-] : [kː]	-0.013	0.964	-0.026	-0.423	0|4560
[g] : [ɣ]	-0.140	0.694	-0.352	-0.434	7182|785
[s] : [z]	-0.037	0.952	-0.076	-0.472	13816|1316
[ɲ] : [n]	-0.047	0.680	-0.101	-0.486	81|24546
[ʣː] : [ʦː]	-0.041	0.964	-0.086	-0.486	1473|3356
[kːʲ] : [kː]	-0.028	0.940	-0.058	-0.542	1170|4560
[j] : [gʲ]	-0.057	0.917	-0.123	-0.750	7360|529
[s] : [ʃ]	-0.049	0.908	-0.104	-0.757	13816|3407
[-] : [w]	-0.035	0.987	-0.072	-0.761	0|1672
[ʎː] : [ʎ]	-0.067	0.645	-0.150	-0.790	2511|24
[rː] : [r]	-0.048	0.965	-0.101	-0.808	540|26812
[e] : [-]	-0.054	0.988	-0.115	-0.985	24334|0
[dʲ] : [d]	-0.063	0.591	-0.141	-1.179	22|6797
[p] : [ɸ]	-0.200	0.754	-0.543	-1.219	12429|1666
[t] : [θ]	-0.247	0.704	-0.761	-1.245	15698|3653
[-] : [j]	-0.078	0.923	-0.172	-1.447	0|7360
[bː] : [b]	-0.080	0.988	-0.175	-1.625	452|9134
[nː] : [ɲ]	-0.052	0.780	-0.112	-1.669	810|81
[ʣ] : [ʦ]	-0.102	0.977	-0.227	-1.984	800|1636
[t] : [dː]	-0.085	0.549	-0.201	-2.026	15698|15
[k] : [h]	-0.224	0.804	-0.622	-2.134	10703|1996
[k] : [x]	-0.148	0.645	-0.386	-2.146	10703|333
[ʦ] : [s]	-0.126	0.958	-0.289	-2.310	1636|13816
[ʣ] : [z]	-0.094	0.960	-0.207	-2.504	800|1316
[g] : [dʲ]	-0.097	0.642	-0.230	-2.643	7182|22
[ʦ] : [sː]	-0.142	0.966	-0.333	-3.259	1636|1388
[ʃ] : [ʧ]	-0.246	0.927	-0.671	-3.290	3407|8160
[ʒ] : [z]	-0.136	0.949	-0.318	-3.306	564|1316
[ʒ] : [ʤ]	-0.284	0.957	-0.806	-4.326	564|1179
[bː] : [β]	-0.154	0.691	-0.395	-4.685	452|238
[h] : [-]	-0.204	0.845	-0.538	-5.286	1996|0
[dː] : [d]	-0.176	0.481	-0.556	-5.695	15|6797
[x] : [-]	-0.201	0.518	-0.654	-7.073	333|0
