CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[ʣː] : [zː]	0.445	0.508	0.474	5.601	1473|4
[ʎː] : [ɟ]	0.405	0.554	0.468	5.539	2511|1
[ʎː] : [dːʲ]	0.468	0.520	0.492	5.282	2511|7
[ʎː] : [gːʲ]	0.498	0.505	0.502	5.088	2511|17
[ɣ] : [h]	0.391	0.699	0.501	4.845	785|1996
[z] : [zː]	0.306	0.506	0.381	4.749	1316|4
[ɣ] : [gː]	0.262	0.448	0.331	4.727	785|2
[h] : [-]	0.393	0.770	0.520	4.515	1996|0
[lː] : [ɖ]	0.386	0.473	0.425	4.431	6313|9
[u] : [u̞]	0.307	0.564	0.397	4.398	9128|1
[kː] : [gː]	0.298	0.511	0.376	4.395	4560|2
[ʤː] : [gːʲ]	0.253	0.506	0.337	4.049	1265|17
[θ] : [dː]	0.296	0.394	0.338	4.002	3653|15
[s] : [ɕ]	0.285	0.567	0.379	3.976	13816|2
[g] : [gː]	0.259	0.513	0.345	3.947	7182|2
[ð] : [dː]	0.200	0.381	0.262	3.800	775|15
[ʣ] : [zː]	0.179	0.510	0.265	3.774	800|4
[e] : [-]	0.351	0.984	0.517	3.448	24334|0
[d] : [dː]	0.245	0.477	0.324	3.439	6797|15
[ʦː] : [zː]	0.183	0.511	0.270	3.434	3356|4
[-] : [w]	0.261	0.988	0.413	3.343	0|1672
[-] : [ɲ]	0.177	0.573	0.270	3.341	0|81
[ɣ] : [x]	0.202	0.557	0.296	3.276	785|333
[n] : [õ]	0.271	0.506	0.353	3.270	24546|11
[ʤː] : [ʒ]	0.161	0.970	0.276	3.269	1265|564
[i] : [i̞]	0.248	0.518	0.335	3.267	26193|4
[tː] : [dː]	0.206	0.478	0.288	3.256	5225|15
[n] : [ŋ]	0.299	0.459	0.362	3.170	24546|27
[z] : [ʣː]	0.199	0.946	0.328	3.168	1316|1473
[tːʲ] : [kː]	0.195	0.620	0.297	3.039	22|4560
[t] : [dː]	0.221	0.474	0.302	2.976	15698|15
[x] : [-]	0.169	0.607	0.265	2.817	333|0
[ʦ] : [sː]	0.196	0.974	0.327	2.805	1636|1388
[z] : [ʒ]	0.154	0.942	0.265	2.595	1316|564
[ʣ] : [ʣː]	0.163	0.960	0.278	2.556	800|1473
[kːʲ] : [kː]	0.187	0.910	0.310	2.549	1170|4560
[e] : [ə]	0.179	0.402	0.248	2.414	24334|31
[θ] : [d]	0.166	0.675	0.266	2.389	3653|6797
[s] : [ʃ]	0.210	0.933	0.342	2.238	13816|3407
[ʎː] : [ʎ]	0.156	0.647	0.251	2.236	2511|24
[a] : [æ]	0.165	0.483	0.246	2.206	70241|6
[s] : [zː]	0.103	0.511	0.171	2.111	13816|4
[z] : [ʣ]	0.122	0.964	0.216	1.999	1316|800
[-] : [j]	0.185	0.925	0.309	1.972	0|7360
[m] : [mː]	0.111	0.994	0.199	1.969	10648|430
[ʃ] : [ʧ]	0.310	0.910	0.463	1.926	3407|8160
[g] : [dʲ]	0.104	0.621	0.178	1.856	7182|22
[ʒ] : [ʤ]	0.233	0.941	0.373	1.790	564|1179
[o] : [ə]	0.125	0.403	0.191	1.721	59374|31
[rː] : [r]	0.123	0.979	0.218	1.688	540|26812
[gʲ] : [ʤ]	0.070	0.921	0.131	1.595	529|1179
[ʃ] : [ʒ]	0.092	0.898	0.166	1.589	3407|564
[l] : [ɖ]	0.076	0.471	0.131	1.565	19045|9
[b] : [bː]	0.092	0.989	0.169	1.558	9134|452
[-] : [u]	0.101	0.979	0.183	1.526	0|9128
[i] : [ə]	0.081	0.402	0.134	1.437	26193|31
[-] : [i]	0.096	0.992	0.174	1.233	0|26193
[dʲ] : [d]	0.099	0.641	0.171	1.207	22|6797
[j] : [gʲ]	0.113	0.929	0.202	1.164	7360|529
[g] : [-]	0.092	0.972	0.168	1.056	7182|0
[ʤː] : [ʤ]	0.047	0.987	0.090	1.007	1265|1179
[fː] : [-]	0.037	1.000	0.071	0.888	183|0
[dʲ] : [ʤ]	0.027	0.649	0.051	0.727	22|1179
[v] : [-]	0.037	1.000	0.070	0.683	3803|0
[ʎ] : [l]	0.035	0.677	0.067	0.657	24|19045
[p] : [ɸ]	0.166	0.856	0.278	0.649	12429|1666
[t] : [θ]	0.199	0.829	0.321	0.642	15698|3653
[j] : [tːʲ]	-0.012	0.515	-0.025	0.622	7360|22
[j] : [kːʲ]	0.070	0.917	0.130	0.621	7360|1170
[ʦ] : [ʦː]	0.026	0.970	0.050	0.499	1636|3356
[-] : [k]	0.029	0.941	0.057	0.496	0|10703
[k] : [x]	0.049	0.651	0.091	0.471	10703|333
[ʦ] : [ʣ]	0.033	0.976	0.064	0.468	1636|800
[g] : [ɣ]	0.124	0.784	0.214	0.441	7182|785
[k] : [h]	0.055	0.855	0.104	0.395	10703|1996
[z] : [s]	0.033	0.956	0.064	0.386	1316|13816
[d] : [ð]	0.183	0.777	0.296	0.350	6797|775
[ɛ] : [æ]	0.011	0.480	0.021	0.320	6763|6
[b] : [β]	0.140	0.780	0.237	0.316	9134|238
[tʲ] : [j]	0.059	0.742	0.109	0.256	71|7360
[ɲ] : [n]	0.025	0.784	0.048	0.228	81|24546
[gʲ] : [dʲ]	-0.069	0.600	-0.157	0.159	529|22
[s] : [ʦ]	0.009	0.966	0.018	0.132	13816|1636
[tʲ] : [kʲ]	0.133	0.726	0.224	0.117	71|1096
[ʦː] : [sː]	0.006	0.983	0.012	0.110	3356|1388
[ʦː] : [ʣː]	0.009	0.965	0.019	0.098	3356|1473
[x] : [h]	0.004	0.687	0.009	0.091	333|1996
[tʲ] : [t]	0.016	0.739	0.031	0.082	71|15698
[ɲ] : [ɲː]	0.027	0.783	0.053	0.079	81|2289
[j] : [kʲ]	0.017	0.902	0.033	0.060	7360|1096
[ḙ] : [l]	0.024	0.677	0.047	0.055	5|19045
[kːʲ] : [tːʲ]	-0.138	0.504	-0.381	0.022	1170|22
[-] : [kː]	-0.023	0.968	-0.048	0.003	0|4560
[kː] : [-]	0.023	0.958	0.046	-0.003	4560|0
[tːʲ] : [kːʲ]	0.138	0.607	0.225	-0.022	22|1170
