CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[l] : [ḙ]	-0.024	0.484	-0.051	-0.056	19045|5
[kʲ] : [j]	-0.017	0.874	-0.035	-0.061	1096|7360
[ɲː] : [ɲ]	-0.027	0.725	-0.057	-0.081	2289|81
[t] : [tʲ]	-0.016	0.685	-0.032	-0.083	15698|71
[h] : [x]	-0.004	0.607	-0.009	-0.092	1996|333
[ʣː] : [ʦː]	-0.009	0.966	-0.019	-0.100	1473|3356
[sː] : [ʦː]	-0.006	0.983	-0.012	-0.112	1388|3356
[kʲ] : [tʲ]	-0.133	0.648	-0.333	-0.119	1096|71
[ʦ] : [s]	-0.009	0.968	-0.019	-0.137	1636|13816
[dʲ] : [gʲ]	0.069	0.640	0.125	-0.164	22|529
[n] : [ɲ]	-0.025	0.728	-0.052	-0.242	24546|81
[j] : [tʲ]	-0.059	0.677	-0.129	-0.271	7360|71
[β] : [b]	-0.140	0.756	-0.342	-0.338	238|9134
[ð] : [d]	-0.183	0.637	-0.514	-0.379	775|6797
[s] : [z]	-0.033	0.957	-0.069	-0.424	13816|1316
[h] : [k]	-0.055	0.847	-0.119	-0.437	1996|10703
[ɣ] : [g]	-0.124	0.754	-0.296	-0.489	785|7182
[ʣ] : [ʦ]	-0.033	0.960	-0.068	-0.508	800|1636
[x] : [k]	-0.049	0.738	-0.105	-0.530	333|10703
[ʦː] : [ʦ]	-0.026	0.965	-0.053	-0.553	3356|1636
[k] : [-]	-0.029	0.929	-0.061	-0.576	10703|0
[kːʲ] : [j]	-0.070	0.891	-0.152	-0.718	1170|7360
[tːʲ] : [j]	0.012	0.611	0.024	-0.722	22|7360
[ɸ] : [p]	-0.166	0.700	-0.436	-0.773	1666|12429
[l] : [ʎ]	-0.035	0.643	-0.074	-0.779	19045|24
[θ] : [t]	-0.199	0.670	-0.567	-0.783	3653|15698
[-] : [g]	-0.092	0.948	-0.204	-1.434	0|7182
[gʲ] : [j]	-0.113	0.898	-0.259	-1.526	529|7360
[d] : [dʲ]	-0.099	0.625	-0.234	-1.607	6797|22
[ʤ] : [ʒ]	-0.233	0.932	-0.620	-2.539	1179|564
[ʣ] : [z]	-0.122	0.951	-0.279	-3.008	800|1316
[dʲ] : [g]	-0.104	0.643	-0.248	-3.023	22|7182
[ʧ] : [ʃ]	-0.310	0.899	-0.947	-3.592	8160|3407
[ʎ] : [ʎː]	-0.156	0.682	-0.404	-3.656	24|2511
[j] : [-]	-0.185	0.927	-0.463	-3.947	7360|0
[ʣː] : [ʣ]	-0.163	0.971	-0.391	-4.440	1473|800
