CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[ʦ] : [s]	-0.152	0.955	-0.362	-2.833	1636|13816
[k] : [h]	-0.244	0.839	-0.689	-2.851	10703|1996
[ʣ] : [ʦ]	-0.141	0.974	-0.330	-2.904	800|1636
[k] : [x]	-0.159	0.669	-0.417	-3.346	10703|333
[ʒ] : [ʤ]	-0.228	0.965	-0.598	-3.780	564|1179
[g] : [dʲ]	-0.148	0.604	-0.392	-3.842	7182|22
[dː] : [θ]	-0.169	0.485	-0.519	-3.929	15|3653
[ʃ] : [ʒ]	-0.165	0.919	-0.402	-4.072	3407|564
[ʃ] : [ʧ]	-0.257	0.934	-0.710	-4.360	3407|8160
[dʲ] : [d]	-0.183	0.647	-0.511	-6.682	22|6797
