CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[kːʲ] : [tːʲ]	0.571	0.570	0.570	5.523	1170|22
[ɟ] : [ʎː]	0.434	0.613	0.508	5.513	1|2511
[ʣː] : [zː]	0.437	0.517	0.474	5.505	1473|4
[vː] : [v]	0.312	0.999	0.476	5.366	6|3803
[ɲː] : [ɲ]	0.506	0.744	0.602	5.087	2289|81
[gː] : [ɣ]	0.356	0.488	0.412	5.062	2|785
[z] : [zː]	0.328	0.513	0.400	4.903	1316|4
[gːʲ] : [ʎ]	0.272	0.464	0.343	4.776	17|24
[gːʲ] : [dːʲ]	0.243	0.377	0.295	4.666	17|7
[dːʲ] : [ʎ]	0.218	0.463	0.297	4.615	7|24
[ʤː] : [gːʲ]	0.325	0.479	0.387	4.608	1265|17
[ʎː] : [ʎ]	0.360	0.686	0.472	4.584	2511|24
[dː] : [tː]	0.368	0.558	0.444	4.449	15|5225
[gː] : [kː]	0.328	0.578	0.419	4.436	2|4560
[ɖ] : [lː]	0.428	0.537	0.476	4.416	9|6313
[u] : [u̞]	0.308	0.578	0.402	4.411	9128|1
[ɕ] : [s]	0.301	0.620	0.405	3.947	2|13816
[-] : [v]	0.307	0.999	0.469	3.947	0|3803
[gː] : [g]	0.262	0.577	0.360	3.823	2|7182
[sː] : [ʦ]	0.302	0.974	0.460	3.627	1388|1636
[l] : [ḙ]	0.292	0.497	0.368	3.545	19045|5
[ʦː] : [zː]	0.183	0.521	0.271	3.383	3356|4
[h] : [θ]	0.229	0.754	0.351	3.332	1996|3653
[i] : [i̞]	0.254	0.539	0.345	3.289	26193|4
[j] : [tːʲ]	0.199	0.568	0.295	3.038	7360|22
[ð] : [dː]	0.158	0.474	0.237	3.034	775|15
[d] : [dʲ]	0.183	0.598	0.280	2.831	6797|22
[β] : [bː]	0.146	0.829	0.249	2.754	238|452
[ʦː] : [sː]	0.169	0.983	0.289	2.657	3356|1388
[s] : [zː]	0.131	0.519	0.210	2.461	13816|4
[ɕ] : [ʃ]	0.103	0.598	0.175	2.379	2|3407
[e] : [ə]	0.175	0.412	0.246	2.354	24334|31
[ʤ] : [ʒ]	0.228	0.958	0.369	2.342	1179|564
[ʒ] : [ʃ]	0.165	0.920	0.280	2.320	564|3407
[kː] : [tːʲ]	0.114	0.576	0.191	2.238	4560|22
[a] : [æ]	0.169	0.494	0.252	2.197	70241|6
[-] : [ɲ]	0.103	0.592	0.175	2.189	0|81
[dʲ] : [g]	0.148	0.648	0.241	2.152	22|7182
[ʧ] : [ʃ]	0.257	0.930	0.403	2.150	8160|3407
[θ] : [dː]	0.169	0.501	0.253	2.131	3653|15
[d] : [-]	0.146	0.911	0.251	2.049	6797|0
[ʦ] : [ʣ]	0.141	0.960	0.246	1.944	1636|800
[ʣ] : [z]	0.101	0.962	0.183	1.883	800|1316
[x] : [k]	0.159	0.640	0.255	1.863	333|10703
[gː] : [gʲ]	0.065	0.570	0.116	1.832	2|529
[o] : [ə]	0.132	0.412	0.200	1.755	59374|31
[i] : [-]	0.140	0.994	0.245	1.726	26193|0
[ɟ] : [-]	0.059	0.444	0.104	1.720	1|0
[s] : [ʦ]	0.152	0.963	0.263	1.697	13816|1636
[h] : [k]	0.244	0.917	0.386	1.691	1996|10703
[ʃ] : [ʃː]	0.087	0.955	0.160	1.681	3407|1376
[o] : [-]	0.168	0.991	0.288	1.678	59374|0
[ɸ] : [β]	0.083	0.711	0.149	1.677	1666|238
[g] : [h]	0.101	0.828	0.180	1.638	7182|1996
[fː] : [-]	0.073	1.000	0.136	1.632	183|0
[gʲ] : [ʤ]	0.078	0.955	0.144	1.626	529|1179
[h] : [dː]	0.067	0.505	0.119	1.622	1996|15
[t] : [tʲ]	0.100	0.675	0.174	1.592	15698|71
[i] : [ə]	0.093	0.412	0.152	1.572	26193|31
[ɖ] : [l]	0.084	0.534	0.145	1.569	9|19045
[gː] : [-]	0.055	0.413	0.097	1.541	2|0
[ʃ] : [s]	0.145	0.945	0.251	1.480	3407|13816
[r] : [l]	0.149	0.972	0.258	1.473	26812|19045
[g] : [x]	0.069	0.662	0.126	1.462	7182|333
[ʣː] : [ʣ]	0.071	0.971	0.132	1.440	1473|800
[t] : [-]	0.095	0.932	0.173	1.412	15698|0
[θ] : [t]	0.305	0.901	0.455	1.400	3653|15698
[j] : [-]	0.116	0.929	0.207	1.354	7360|0
[ɸ] : [p]	0.244	0.925	0.386	1.345	1666|12429
[dʲ] : [ʤ]	0.046	0.649	0.086	1.221	22|1179
[mː] : [m]	0.074	0.989	0.137	1.217	430|10648
[d] : [θ]	0.082	0.758	0.148	1.204	6797|3653
[ɖ] : [-]	0.045	0.367	0.080	1.166	9|0
[-] : [kː]	0.126	0.965	0.223	1.161	0|4560
[-] : [g]	0.088	0.959	0.161	1.153	0|7182
[tʲ] : [j]	0.072	0.687	0.131	1.152	71|7360
[ɲ] : [n]	0.047	0.745	0.088	1.146	81|24546
[-] : [k]	0.125	0.934	0.220	1.130	0|10703
[e] : [-]	0.084	0.990	0.155	1.118	24334|0
[kːʲ] : [j]	0.108	0.934	0.194	1.000	1170|7360
[ʎ] : [r]	0.038	0.579	0.072	0.996	24|26812
[ʤː] : [ʒ]	0.035	0.960	0.067	0.769	1265|564
[kʲ] : [j]	0.083	0.916	0.153	0.712	1096|7360
[-] : [w]	0.046	0.987	0.087	0.689	0|1672
[bː] : [b]	0.042	0.987	0.081	0.676	452|9134
[ʦː] : [ʣː]	0.064	0.964	0.120	0.672	3356|1473
[t] : [dː]	0.031	0.510	0.058	0.632	15698|15
[ʎ] : [l]	-0.014	0.577	-0.030	0.576	24|19045
[ʤ] : [ʤː]	0.028	0.995	0.055	0.574	1179|1265
[z] : [ʒ]	0.031	0.926	0.061	0.571	1316|564
[d] : [dː]	0.032	0.507	0.061	0.566	6797|15
[h] : [-]	0.057	0.900	0.108	0.533	1996|0
[ɣ] : [g]	0.150	0.851	0.255	0.523	785|7182
[gʲ] : [g]	0.022	0.954	0.044	0.469	529|7182
[ð] : [d]	0.155	0.827	0.261	0.464	775|6797
[gʲ] : [j]	0.038	0.938	0.073	0.462	529|7360
[β] : [b]	0.104	0.832	0.185	0.443	238|9134
[s] : [z]	0.038	0.951	0.073	0.428	13816|1316
[ʦ] : [ʦː]	0.022	0.955	0.043	0.423	1636|3356
[rː] : [r]	0.028	0.969	0.055	0.421	540|26812
[pː] : [ɸ]	0.018	0.811	0.035	0.399	1484|1666
[gːʲ] : [ʎː]	0.093	0.584	0.160	0.363	17|2511
[ɲː] : [nː]	0.010	0.995	0.019	0.224	2289|810
[x] : [-]	0.002	0.487	0.005	0.192	333|0
[kːʲ] : [kː]	0.013	0.952	0.025	0.185	1170|4560
[dʲ] : [gʲ]	0.048	0.640	0.090	0.173	22|529
[h] : [x]	0.088	0.652	0.154	0.054	1996|333
[õ] : [n]	0.031	0.557	0.058	0.038	11|24546
[dːʲ] : [-]	0.001	0.413	0.002	0.029	7|0
[tʲ] : [kʲ]	-0.028	0.668	-0.058	0.025	71|1096
[gːʲ] : [-]	0.000	0.415	0.001	0.014	17|0
[ŋ] : [n]	0.080	0.513	0.138	0.004	27|24546
[ʎː] : [dːʲ]	-0.018	0.511	-0.037	0.003	2511|7
[dːʲ] : [ʎː]	0.018	0.583	0.035	-0.003	7|2511
[n] : [ŋ]	-0.080	0.592	-0.184	-0.004	24546|27
[kʲ] : [tʲ]	0.028	0.668	0.054	-0.025	1096|71
[n] : [õ]	-0.031	0.578	-0.065	-0.038	24546|11
[x] : [h]	-0.088	0.588	-0.206	-0.055	333|1996
[gʲ] : [dʲ]	-0.048	0.606	-0.105	-0.178	529|22
[kː] : [kːʲ]	-0.013	0.929	-0.026	-0.193	4560|1170
[-] : [x]	-0.002	0.511	-0.005	-0.199	0|333
[ʎː] : [gːʲ]	-0.093	0.477	-0.230	-0.391	2511|17
[ʦː] : [ʦ]	-0.022	0.970	-0.045	-0.462	3356|1636
[r] : [rː]	-0.028	0.958	-0.059	-0.472	26812|540
[z] : [s]	-0.038	0.952	-0.079	-0.475	1316|13816
[b] : [β]	-0.104	0.739	-0.243	-0.490	9134|238
[j] : [gʲ]	-0.038	0.926	-0.080	-0.510	7360|529
[d] : [ð]	-0.155	0.710	-0.396	-0.519	6797|775
[g] : [ɣ]	-0.150	0.730	-0.378	-0.592	7182|785
[-] : [h]	-0.057	0.741	-0.124	-0.600	0|1996
[ʒ] : [z]	-0.031	0.953	-0.065	-0.630	564|1316
[ʤː] : [ʤ]	-0.028	0.980	-0.058	-0.638	1265|1179
[dː] : [d]	-0.032	0.551	-0.068	-0.644	15|6797
[l] : [ʎ]	0.014	0.678	0.028	-0.667	19045|24
[dː] : [t]	-0.031	0.547	-0.065	-0.746	15|15698
[ʣː] : [ʦː]	-0.064	0.965	-0.138	-0.773	1473|3356
[b] : [bː]	-0.042	0.980	-0.088	-0.784	9134|452
[w] : [-]	-0.046	0.991	-0.096	-0.785	1672|0
[j] : [kʲ]	-0.083	0.894	-0.184	-0.841	7360|1096
[j] : [kːʲ]	-0.108	0.908	-0.246	-1.275	7360|1170
[r] : [ʎ]	-0.038	0.682	-0.082	-1.337	26812|24
[j] : [tʲ]	-0.072	0.674	-0.162	-1.515	7360|71
[kː] : [-]	-0.126	0.973	-0.290	-1.564	4560|0
[n] : [ɲ]	-0.047	0.743	-0.100	-1.591	24546|81
[g] : [-]	-0.088	0.937	-0.194	-1.614	7182|0
[m] : [mː]	-0.074	0.995	-0.159	-1.621	10648|430
[k] : [-]	-0.125	0.968	-0.287	-1.637	10703|0
[θ] : [d]	-0.082	0.912	-0.180	-1.716	3653|6797
[p] : [ɸ]	-0.244	0.801	-0.700	-2.010	12429|1666
[-] : [j]	-0.116	0.927	-0.266	-2.056	0|7360
[t] : [θ]	-0.305	0.765	-1.012	-2.291	15698|3653
[s] : [ʃ]	-0.145	0.917	-0.344	-2.374	13816|3407
[tʲ] : [t]	-0.100	0.688	-0.234	-2.541	71|15698
