CORR	DIST	REPR	IDIO
[ð] -> [d]	-0.008	0.260	-0.016
[mː] -> [m]	-0.008	0.271	-0.016
[h] -> [k]	-0.009	0.227	-0.018
[ʦ] -> [ʣ]	-0.013	0.424	-0.027
[β] -> [b]	-0.015	0.253	-0.032
[t] -> [θ]	-0.020	0.235	-0.043
[s] -> [ʦ]	-0.022	0.372	-0.048
[g] -> [ɣ]	-0.025	0.275	-0.054
[x] -> [h]	-0.029	0.256	-0.064
[d] -> [θ]	-0.035	0.234	-0.082
[s] -> [ʃ]	-0.043	0.343	-0.099
[j] -> [kːʲ]	-0.044	0.386	-0.099
[ʒ] -> [ʃ]	-0.045	0.342	-0.103
[kː] -> [kːʲ]	-0.051	0.388	-0.118
[gʲ] -> [j]	-0.067	0.279	-0.178
[j] -> [kʲ]	-0.081	0.354	-0.209
[rː] -> [r]	-0.072	0.116	-0.378
[ʧ] -> [ʃ]	-0.124	0.343	-0.390
[ʎ] -> [ʎː]	-0.135	0.315	-0.471
[z] -> [s]	-0.126	0.224	-0.573
[ʤ] -> [ʒ]	-0.183	0.442	-0.626
[ɲ] -> [ɲː]	-0.136	0.241	-0.629
[n] -> [ɲ]	-0.121	0.134	-2.588
