CORR	DIST	REPR	IDIO
[ʤː] -> [ʒ]	0.176	0.583	0.270
[dː] -> [tː]	0.193	0.314	0.239
[ʤ] -> [ʤː]	0.140	0.603	0.227
[h] -> [k]	0.149	0.448	0.224
[ʤ] -> [ʒ]	0.139	0.562	0.223
[θ] -> [t]	0.145	0.404	0.214
[nː] -> [ɲː]	0.125	0.576	0.205
[z] -> [ʒ]	0.124	0.544	0.202
[β] -> [bː]	0.126	0.440	0.196
[d] -> [dː]	0.136	0.292	0.186
[ɸ] -> [p]	0.118	0.436	0.186
[ð] -> [dː]	0.146	0.248	0.183
[ʧ] -> [ʃ]	0.102	0.516	0.170
[sː] -> [ʦː]	0.098	0.593	0.168
[ʦ] -> [ʣ]	0.096	0.599	0.165
[x] -> [k]	0.102	0.364	0.159
[ʒ] -> [ʃ]	0.092	0.504	0.155
[ð] -> [d]	0.091	0.407	0.149
[s] -> [ʦ]	0.083	0.578	0.145
[ɣ] -> [g]	0.087	0.420	0.144
[b] -> [bː]	0.072	0.604	0.128
[gʲ] -> [ʤ]	0.070	0.570	0.124
[θ] -> [ð]	0.074	0.333	0.121
[z] -> [ʣ]	0.068	0.574	0.121
[ʣː] -> [ʣ]	0.067	0.581	0.120
[ʦ] -> [ʦː]	0.067	0.587	0.120
[β] -> [b]	0.065	0.410	0.112
[sː] -> [ʦ]	0.060	0.584	0.109
[kːʲ] -> [tːʲ]	0.058	0.308	0.097
[f] -> [fː]	0.050	0.643	0.093
[dʲ] -> [ʤ]	0.052	0.397	0.092
[dʲ] -> [g]	0.052	0.383	0.092
[dː] -> [t]	0.044	0.295	0.077
[ʦː] -> [ʣː]	0.040	0.574	0.074
[kʲ] -> [tʲ]	0.037	0.404	0.067
[tːʲ] -> [kː]	0.036	0.333	0.065
[z] -> [s]	0.031	0.509	0.059
[õ] -> [n]	0.032	0.341	0.059
[ɲ] -> [nː]	0.031	0.463	0.057
[r] -> [rː]	0.027	0.572	0.051
[β] -> [ɸ]	0.028	0.349	0.051
[pː] -> [bː]	0.027	0.612	0.051
[gʲ] -> [dʲ]	0.025	0.380	0.047
[n] -> [ɲ]	0.025	0.462	0.047
[ɲː] -> [ɲ]	0.024	0.464	0.046
[g] -> [gʲ]	0.023	0.585	0.044
[j] -> [tːʲ]	0.023	0.309	0.042
[θ] -> [dː]	0.023	0.255	0.042
[j] -> [tʲ]	0.021	0.411	0.040
[ʎː] -> [j]	0.020	0.535	0.039
[ɣ] -> [gʲ]	0.017	0.438	0.033
[kː] -> [x]	0.017	0.361	0.032
[gʲ] -> [j]	0.016	0.520	0.031
[θ] -> [d]	0.015	0.426	0.029
[h] -> [x]	0.015	0.323	0.028
[h] -> [dː]	0.008	0.268	0.016
[d] -> [dʲ]	0.008	0.384	0.016
[kːʲ] -> [j]	0.005	0.513	0.010
[tːʲ] -> [kʲ]	0.004	0.329	0.007
[kʲ] -> [j]	0.003	0.504	0.007
[mː] -> [m]	0.003	0.558	0.006
[kːʲ] -> [kʲ]	0.003	0.533	0.005
[ʃ] -> [s]	0.002	0.499	0.004
[kːʲ] -> [kː]	0.001	0.546	0.002
[-] -> [e]	0.043	0.000	0.000
[-] -> [g]	-0.002	0.000	0.000
[-] -> [h]	0.126	0.000	0.000
[-] -> [i]	-0.038	0.000	0.000
[-] -> [j]	0.008	0.000	0.000
[-] -> [k]	0.008	0.000	0.000
[-] -> [kː]	-0.009	0.000	0.000
[-] -> [lː]	-0.002	0.000	0.000
[-] -> [v]	0.104	0.000	0.000
[-] -> [w]	0.021	0.000	0.000
[-] -> [x]	0.123	0.000	0.000
[-] -> [ɛ]	0.241	0.000	0.000
[-] -> [ʧː]	0.106	0.000	0.000
[a] -> [æ]	0.129	0.000	0.000
[d] -> [-]	0.098	0.000	0.000
[dːʲ] -> [gːʲ]	0.251	0.000	0.000
[dːʲ] -> [j]	0.008	0.000	0.000
[dːʲ] -> [ʎ]	0.262	0.000	0.000
[dːʲ] -> [ʎː]	0.339	0.000	0.000
[e] -> [-]	-0.043	0.000	0.000
[ḙ] -> [l]	-0.080	0.000	0.000
[g] -> [-]	0.002	0.000	0.000
[gː] -> [g]	0.185	0.000	0.000
[gː] -> [gʲ]	0.091	0.000	0.000
