CORR	DIST	REPR	IDIO
[ð] -> [d]	-0.003	0.453	-0.007
[β] -> [b]	-0.004	0.452	-0.008
[ɸ] -> [p]	-0.005	0.469	-0.010
[θ] -> [t]	-0.007	0.446	-0.014
[nː] -> [ɲ]	-0.008	0.375	-0.016
[ʣː] -> [ʦː]	-0.011	0.564	-0.023
[ʣ] -> [ʦ]	-0.018	0.571	-0.037
[ʦ] -> [s]	-0.018	0.516	-0.038
[gʲ] -> [ʤ]	-0.019	0.589	-0.039
[ʎ] -> [l]	-0.020	0.397	-0.041
[gʲ] -> [j]	-0.026	0.530	-0.054
[j] -> [kʲ]	-0.029	0.536	-0.061
[j] -> [kːʲ]	-0.029	0.551	-0.062
[j] -> [tʲ]	-0.029	0.394	-0.063
[ʃ] -> [ʒ]	-0.032	0.573	-0.067
[kː] -> [kːʲ]	-0.036	0.563	-0.078
[x] -> [h]	-0.037	0.384	-0.083
[β] -> [bː]	-0.039	0.496	-0.086
[h] -> [k]	-0.044	0.477	-0.097
[x] -> [k]	-0.044	0.394	-0.099
[ɲ] -> [ɲː]	-0.047	0.400	-0.107
[m] -> [mː]	-0.053	0.606	-0.116
[n] -> [ɲ]	-0.052	0.382	-0.119
[r] -> [rː]	-0.057	0.572	-0.128
[z] -> [s]	-0.061	0.512	-0.139
[ʧ] -> [ʃ]	-0.067	0.547	-0.154
[ʤ] -> [ʤː]	-0.074	0.607	-0.168
[s] -> [ʃ]	-0.079	0.547	-0.185
[b] -> [bː]	-0.101	0.606	-0.244
[kʲ] -> [tʲ]	-0.095	0.384	-0.251
[ʤ] -> [ʒ]	-0.117	0.595	-0.292
[ʎ] -> [ʎː]	-0.117	0.442	-0.319
