CORR	DIST	REPR	IDIO
[ʧː] -> [-]	0.025	0.000	0.000
[θ] -> [dː]	-0.101	0.000	0.000
[mː] -> [m]	-0.000	0.625	-0.001
[tʲ] -> [j]	-0.002	0.448	-0.003
[ʎː] -> [gːʲ]	-0.008	0.303	-0.017
[b] -> [bː]	-0.009	0.658	-0.019
[kːʲ] -> [kː]	-0.012	0.625	-0.024
[ʦː] -> [ʣː]	-0.012	0.629	-0.024
[s] -> [z]	-0.012	0.626	-0.025
[ɲ] -> [ɲː]	-0.015	0.453	-0.030
[gʲ] -> [dʲ]	-0.016	0.385	-0.034
[n] -> [ɲ]	-0.021	0.446	-0.044
[d] -> [dʲ]	-0.025	0.377	-0.053
[h] -> [x]	-0.025	0.408	-0.054
[ʦ] -> [ʦː]	-0.026	0.629	-0.055
[kʲ] -> [j]	-0.030	0.591	-0.063
[ɲ] -> [nː]	-0.032	0.449	-0.069
[rː] -> [r]	-0.033	0.593	-0.070
[s] -> [ʃ]	-0.035	0.621	-0.074
[ɸ] -> [β]	-0.039	0.512	-0.083
[kːʲ] -> [j]	-0.039	0.604	-0.084
[kʲ] -> [tʲ]	-0.045	0.448	-0.100
[ʣː] -> [ʣ]	-0.053	0.632	-0.116
[s] -> [ʦ]	-0.055	0.621	-0.120
[ʦ] -> [ʣ]	-0.055	0.634	-0.120
[gʲ] -> [j]	-0.055	0.615	-0.121
[l] -> [ʎ]	-0.052	0.318	-0.123
[gʲ] -> [ʤ]	-0.057	0.652	-0.125
[β] -> [bː]	-0.061	0.550	-0.138
[β] -> [b]	-0.065	0.532	-0.149
[sː] -> [ʦ]	-0.067	0.621	-0.149
[ʎ] -> [ʎː]	-0.066	0.332	-0.165
[ʃ] -> [ʒ]	-0.081	0.638	-0.185
[ʎ] -> [gːʲ]	-0.073	0.208	-0.225
[ʧ] -> [ʃ]	-0.104	0.623	-0.250
[ɣ] -> [g]	-0.108	0.542	-0.270
[ð] -> [d]	-0.114	0.535	-0.289
[dʲ] -> [g]	-0.111	0.382	-0.315
[x] -> [k]	-0.136	0.426	-0.399
[ɸ] -> [p]	-0.166	0.590	-0.462
[ʤ] -> [ʒ]	-0.174	0.660	-0.471
[h] -> [k]	-0.189	0.589	-0.555
[θ] -> [t]	-0.200	0.572	-0.614
