CORR	DIST	REPR	IDIO
[ʧ] -> [ʃ]	-0.057	0.459	-0.130
[kʲ] -> [tʲ]	-0.062	0.391	-0.147
[β] -> [b]	-0.069	0.389	-0.168
[ɣ] -> [g]	-0.079	0.398	-0.196
[ɲː] -> [ɲ]	-0.089	0.345	-0.242
[ʤ] -> [ʒ]	-0.101	0.550	-0.246
[sː] -> [ʦ]	-0.099	0.489	-0.248
[ð] -> [d]	-0.146	0.403	-0.457
[ɸ] -> [p]	-0.154	0.403	-0.497
[x] -> [k]	-0.165	0.334	-0.649
[θ] -> [t]	-0.191	0.377	-0.774
[h] -> [k]	-0.202	0.409	-0.801
[ʎː] -> [ʎ]	-0.191	0.263	-1.390
