CORR	DIST	REPR	IDIO
[j] -> [tʲ]	-0.023	0.498	-0.048
[kː] -> [kːʲ]	-0.025	0.715	-0.053
[z] -> [s]	-0.027	0.737	-0.056
[n] -> [ɲ]	-0.031	0.484	-0.067
[ʃ] -> [s]	-0.033	0.736	-0.068
[ŋ] -> [n]	-0.030	0.174	-0.073
[ʦː] -> [ʣː]	-0.035	0.722	-0.073
[gʲ] -> [j]	-0.035	0.729	-0.074
[gʲ] -> [dʲ]	-0.035	0.432	-0.077
[ɲ] -> [nː]	-0.036	0.464	-0.079
[r] -> [rː]	-0.041	0.695	-0.088
[d] -> [dʲ]	-0.043	0.424	-0.095
[gʲ] -> [ʤ]	-0.057	0.728	-0.124
[b] -> [bː]	-0.060	0.730	-0.130
[ʎ] -> [ʎː]	-0.062	0.485	-0.142
[gːʲ] -> [ʎː]	-0.060	0.348	-0.146
[s] -> [ʦ]	-0.074	0.709	-0.165
[dʲ] -> [g]	-0.070	0.423	-0.168
[kʲ] -> [tʲ]	-0.072	0.491	-0.168
[β] -> [b]	-0.079	0.614	-0.182
[ʦ] -> [ʣ]	-0.083	0.710	-0.189
[sː] -> [ʦ]	-0.088	0.712	-0.200
[z] -> [ʒ]	-0.098	0.698	-0.227
[ɣ] -> [g]	-0.100	0.614	-0.240
[ð] -> [d]	-0.110	0.608	-0.269
[β] -> [bː]	-0.113	0.594	-0.278
[x] -> [k]	-0.112	0.487	-0.292
[ɸ] -> [p]	-0.142	0.687	-0.359
[h] -> [k]	-0.162	0.686	-0.424
[ʧ] -> [ʃ]	-0.174	0.721	-0.460
[θ] -> [t]	-0.172	0.671	-0.463
[ʤ] -> [ʒ]	-0.205	0.726	-0.571
