CORR	DIST	REPR	IDIO
[gːʲ] -> [ʎː]	-0.060	0.347	-0.146
[ŋ] -> [n]	-0.057	0.168	-0.171
[β] -> [b]	-0.073	0.467	-0.174
[s] -> [ʦ]	-0.094	0.550	-0.227
[ʃ] -> [s]	-0.100	0.494	-0.251
[ʦ] -> [ʣ]	-0.107	0.575	-0.264
[ʒ] -> [ʃ]	-0.109	0.541	-0.274
[ð] -> [d]	-0.106	0.463	-0.275
[ɣ] -> [g]	-0.108	0.475	-0.280
[dʲ] -> [g]	-0.110	0.372	-0.312
[d] -> [dʲ]	-0.120	0.373	-0.355
[x] -> [k]	-0.120	0.356	-0.361
[ʤ] -> [ʒ]	-0.169	0.596	-0.471
[ɸ] -> [p]	-0.171	0.501	-0.517
[ʧ] -> [ʃ]	-0.179	0.544	-0.533
[h] -> [k]	-0.180	0.505	-0.559
[θ] -> [t]	-0.211	0.478	-0.758
