CORR	DIST	REPR	IDIO	FREQ
[ʣː] : [ʦː]	-0.009	0.958	-0.017	1473|3356
[d] : [ð]	-0.011	0.752	-0.023	6797|775
[p] : [ɸ]	-0.012	0.842	-0.024	12429|1666
[i] : [i̞]	-0.017	0.521	-0.035	26193|4
[-] : [j]	-0.023	0.925	-0.047	0|7360
[m] : [mː]	-0.024	0.993	-0.049	10648|430
[θ] : [t]	-0.025	0.791	-0.052	3653|15698
[b] : [β]	-0.026	0.766	-0.053	9134|238
[-] : [g]	-0.028	0.949	-0.057	0|7182
[ɣ] : [g]	-0.029	0.751	-0.060	785|7182
[ʦ] : [s]	-0.041	0.952	-0.086	1636|13816
[tʲ] : [kʲ]	-0.041	0.606	-0.087	71|1096
[θ] : [d]	-0.042	0.799	-0.088	3653|6797
[h] : [x]	-0.046	0.597	-0.099	1996|333
[kːʲ] : [kː]	-0.052	0.923	-0.111	1170|4560
[ʃ] : [s]	-0.059	0.939	-0.125	3407|13816
[t] : [tʲ]	-0.070	0.676	-0.155	15698|71
[ʃ] : [ʒ]	-0.072	0.923	-0.156	3407|564
[kːʲ] : [j]	-0.079	0.903	-0.173	1170|7360
[tʲ] : [j]	-0.079	0.616	-0.180	71|7360
[j] : [gʲ]	-0.091	0.929	-0.202	7360|529
[-] : [w]	-0.108	0.989	-0.242	0|1672
[kʲ] : [j]	-0.113	0.860	-0.260	1096|7360
[r] : [rː]	-0.125	0.959	-0.286	26812|540
[t] : [dː]	-0.115	0.478	-0.303	15698|15
[ʎː] : [dːʲ]	-0.124	0.524	-0.325	2511|7
[ʃ] : [ʧ]	-0.170	0.936	-0.415	3407|8160
[ʎː] : [ʎ]	-0.159	0.638	-0.423	2511|24
[x] : [-]	-0.156	0.569	-0.429	333|0
[s] : [z]	-0.183	0.953	-0.453	13816|1316
[ɲ] : [n]	-0.169	0.623	-0.466	81|24546
[-] : [kː]	-0.211	0.967	-0.539	0|4560
[θ] : [dː]	-0.170	0.441	-0.554	3653|15
[-] : [k]	-0.222	0.941	-0.580	0|10703
[ɲː] : [ɲ]	-0.219	0.749	-0.619	2289|81
[ʒ] : [ʤ]	-0.256	0.959	-0.699	564|1179
[h] : [-]	-0.238	0.742	-0.700	1996|0
[dː] : [d]	-0.261	0.604	-0.916	15|6797
