CORR	DIST	REPR	IDIO	FREQ
[-] : [k]	-0.008	0.935	-0.016	0|10703
[i̞] : [i]	-0.010	0.551	-0.020	4|26193
[m] : [mː]	-0.012	0.996	-0.025	10648|430
[tʲ] : [t]	-0.012	0.684	-0.025	71|15698
[-] : [kː]	-0.013	0.964	-0.026	0|4560
[tʲ] : [j]	-0.020	0.678	-0.041	71|7360
[dː] : [θ]	-0.021	0.410	-0.045	15|3653
[n] : [õ]	-0.023	0.671	-0.047	24546|11
[j] : [kʲ]	-0.027	0.891	-0.056	7360|1096
[kːʲ] : [kː]	-0.028	0.940	-0.058	1170|4560
[x] : [h]	-0.028	0.594	-0.058	333|1996
[-] : [w]	-0.035	0.987	-0.072	0|1672
[g] : [-]	-0.035	0.942	-0.073	7182|0
[s] : [z]	-0.037	0.952	-0.076	13816|1316
[ɲ] : [ɲː]	-0.038	0.678	-0.081	81|2289
[j] : [kːʲ]	-0.040	0.905	-0.084	7360|1170
[ʣː] : [ʦː]	-0.041	0.964	-0.086	1473|3356
[ɲ] : [n]	-0.047	0.680	-0.101	81|24546
[n] : [ŋ]	-0.046	0.552	-0.101	24546|27
[rː] : [r]	-0.048	0.965	-0.101	540|26812
[s] : [ʃ]	-0.049	0.908	-0.104	13816|3407
[nː] : [ɲ]	-0.052	0.780	-0.112	810|81
[e] : [-]	-0.054	0.988	-0.115	24334|0
[j] : [gʲ]	-0.057	0.917	-0.123	7360|529
[dʲ] : [gʲ]	-0.059	0.580	-0.131	22|529
[dʲ] : [d]	-0.063	0.591	-0.141	22|6797
[ʎː] : [ʎ]	-0.067	0.645	-0.150	2511|24
[-] : [j]	-0.078	0.923	-0.172	0|7360
[bː] : [b]	-0.080	0.988	-0.175	452|9134
[t] : [dː]	-0.085	0.549	-0.201	15698|15
[ʣ] : [z]	-0.094	0.960	-0.207	800|1316
[ʎː] : [gːʲ]	-0.091	0.575	-0.216	2511|17
[ʣ] : [ʦ]	-0.102	0.977	-0.227	800|1636
[g] : [dʲ]	-0.097	0.642	-0.230	7182|22
[tʲ] : [kʲ]	-0.100	0.659	-0.235	71|1096
[b] : [β]	-0.107	0.691	-0.252	9134|238
[ʦ] : [s]	-0.126	0.958	-0.289	1636|13816
[ʒ] : [z]	-0.136	0.949	-0.318	564|1316
[ʦ] : [sː]	-0.142	0.966	-0.333	1636|1388
[g] : [ɣ]	-0.140	0.694	-0.352	7182|785
[k] : [x]	-0.148	0.645	-0.386	10703|333
[bː] : [β]	-0.154	0.691	-0.395	452|238
[d] : [ð]	-0.164	0.660	-0.438	6797|775
[h] : [-]	-0.204	0.845	-0.538	1996|0
[p] : [ɸ]	-0.200	0.754	-0.543	12429|1666
[dː] : [d]	-0.176	0.481	-0.556	15|6797
[k] : [h]	-0.224	0.804	-0.622	10703|1996
[x] : [-]	-0.201	0.518	-0.654	333|0
[ʃ] : [ʧ]	-0.246	0.927	-0.671	3407|8160
[t] : [θ]	-0.247	0.704	-0.761	15698|3653
[ʒ] : [ʤ]	-0.284	0.957	-0.806	564|1179
