CORR	DIST	REPR	IDIO	FREQ
[ʃ] : [ʒ]	0.131	0.940	0.230	3407|564
[ɣ] : [g]	0.132	0.869	0.230	785|7182
[g] : [dʲ]	0.139	0.624	0.227	7182|22
[ð] : [dː]	0.152	0.451	0.227	775|15
[-] : [x]	0.125	0.496	0.200	0|333
[m] : [mː]	0.110	0.993	0.197	10648|430
[i] : [-]	0.108	0.997	0.195	26193|0
[o] : [ə]	0.128	0.402	0.195	59374|31
[s] : [zː]	0.120	0.509	0.195	13816|4
[t] : [dː]	0.118	0.469	0.189	15698|15
[h] : [dː]	0.113	0.458	0.181	1996|15
[β] : [b]	0.099	0.834	0.176	238|9134
[i] : [ə]	0.100	0.402	0.160	26193|31
[ʣ] : [ʦ]	0.080	0.976	0.148	800|1636
[l] : [ɖ]	0.088	0.469	0.148	19045|9
[-] : [k]	0.079	0.939	0.145	0|10703
[ʤː] : [ʤ]	0.077	0.984	0.143	1265|1179
[ʣ] : [z]	0.073	0.966	0.136	800|1316
[gʲ] : [ʤ]	0.072	0.981	0.134	529|1179
[gʲ] : [j]	0.071	0.958	0.133	529|7360
[ʦː] : [ʦ]	0.067	0.961	0.125	3356|1636
[ʎ] : [r]	0.068	0.648	0.122	24|26812
[kː] : [tːʲ]	0.062	0.555	0.112	4560|22
[kʲ] : [j]	0.059	0.915	0.111	1096|7360
[fː] : [-]	0.055	1.000	0.104	183|0
[ʎ] : [l]	0.057	0.646	0.104	24|19045
[b] : [bː]	0.050	0.978	0.094	9134|452
[s] : [z]	0.049	0.953	0.094	13816|1316
[ʦː] : [ʣː]	0.044	0.960	0.084	3356|1473
[ʣː] : [ʣ]	0.038	0.955	0.073	1473|800
[x] : [h]	0.038	0.662	0.071	333|1996
[kː] : [kːʲ]	0.034	0.936	0.065	4560|1170
[kːʲ] : [j]	0.033	0.929	0.064	1170|7360
[-] : [j]	0.031	0.925	0.059	0|7360
[-] : [kː]	0.028	0.966	0.054	0|4560
[ɲ] : [n]	0.026	0.703	0.050	81|24546
[-] : [ɲ]	0.023	0.581	0.045	0|81
[r] : [rː]	0.022	0.964	0.044	26812|540
[tʲ] : [j]	0.020	0.782	0.038	71|7360
[-] : [w]	0.016	0.988	0.032	0|1672
[v] : [-]	0.015	0.999	0.030	3803|0
[kʲ] : [tʲ]	0.013	0.662	0.025	1096|71
[g] : [gʲ]	0.010	0.936	0.020	7182|529
[ʤː] : [ʒ]	0.009	0.965	0.018	1265|564
[gːʲ] : [ʎː]	0.004	0.690	0.008	17|2511
[ʃ] : [s]	0.003	0.960	0.007	3407|13816
[s] : [ʃ]	-0.003	0.924	-0.007	13816|3407
[ʎː] : [gːʲ]	-0.004	0.502	-0.008	2511|17
[tʲ] : [kʲ]	-0.013	0.763	-0.025	71|1096
[-] : [v]	-0.015	0.997	-0.031	0|3803
[w] : [-]	-0.016	0.993	-0.033	1672|0
[j] : [tʲ]	-0.020	0.670	-0.040	7360|71
[rː] : [r]	-0.022	0.964	-0.046	540|26812
[n] : [ɲ]	-0.026	0.735	-0.054	24546|81
[kː] : [-]	-0.028	0.973	-0.057	4560|0
[j] : [-]	-0.031	0.936	-0.063	7360|0
[j] : [kːʲ]	-0.033	0.919	-0.068	7360|1170
[kːʲ] : [kː]	-0.034	0.950	-0.070	1170|4560
[h] : [x]	-0.038	0.625	-0.080	1996|333
[ʣː] : [ʦː]	-0.044	0.951	-0.093	1473|3356
