CORR	DIST	REPR	IDIO	FREQ
[b] : [β]	0.140	0.780	0.237	9134|238
[tːʲ] : [kːʲ]	0.138	0.607	0.225	22|1170
[tʲ] : [kʲ]	0.133	0.726	0.224	71|1096
[rː] : [r]	0.123	0.979	0.218	540|26812
[z] : [ʣ]	0.122	0.964	0.216	1316|800
[g] : [ɣ]	0.124	0.784	0.214	7182|785
[j] : [gʲ]	0.113	0.929	0.202	7360|529
[m] : [mː]	0.111	0.994	0.199	10648|430
[o] : [ə]	0.125	0.403	0.191	59374|31
[-] : [u]	0.101	0.979	0.183	0|9128
[g] : [dʲ]	0.104	0.621	0.178	7182|22
[-] : [i]	0.096	0.992	0.174	0|26193
[s] : [zː]	0.103	0.511	0.171	13816|4
[dʲ] : [d]	0.099	0.641	0.171	22|6797
[b] : [bː]	0.092	0.989	0.169	9134|452
[g] : [-]	0.092	0.972	0.168	7182|0
[ʃ] : [ʒ]	0.092	0.898	0.166	3407|564
[i] : [ə]	0.081	0.402	0.134	26193|31
[l] : [ɖ]	0.076	0.471	0.131	19045|9
[gʲ] : [ʤ]	0.070	0.921	0.131	529|1179
[j] : [kːʲ]	0.070	0.917	0.130	7360|1170
[dʲ] : [gʲ]	0.069	0.640	0.125	22|529
[tʲ] : [j]	0.059	0.742	0.109	71|7360
[k] : [h]	0.055	0.855	0.104	10703|1996
[k] : [x]	0.049	0.651	0.091	10703|333
[ʤː] : [ʤ]	0.047	0.987	0.090	1265|1179
[fː] : [-]	0.037	1.000	0.071	183|0
[v] : [-]	0.037	1.000	0.070	3803|0
[ʎ] : [l]	0.035	0.677	0.067	24|19045
[z] : [s]	0.033	0.956	0.064	1316|13816
[ʦ] : [ʣ]	0.033	0.976	0.064	1636|800
[-] : [k]	0.029	0.941	0.057	0|10703
[ɲ] : [ɲː]	0.027	0.783	0.053	81|2289
[dʲ] : [ʤ]	0.027	0.649	0.051	22|1179
[ʦ] : [ʦː]	0.026	0.970	0.050	1636|3356
[ɲ] : [n]	0.025	0.784	0.048	81|24546
[ḙ] : [l]	0.024	0.677	0.047	5|19045
[kː] : [-]	0.023	0.958	0.046	4560|0
[j] : [kʲ]	0.017	0.902	0.033	7360|1096
[tʲ] : [t]	0.016	0.739	0.031	71|15698
[tːʲ] : [j]	0.012	0.611	0.024	22|7360
[ɛ] : [æ]	0.011	0.480	0.021	6763|6
[ʦː] : [ʣː]	0.009	0.965	0.019	3356|1473
[s] : [ʦ]	0.009	0.966	0.018	13816|1636
[ʦː] : [sː]	0.006	0.983	0.012	3356|1388
[x] : [h]	0.004	0.687	0.009	333|1996
[h] : [x]	-0.004	0.607	-0.009	1996|333
[sː] : [ʦː]	-0.006	0.983	-0.012	1388|3356
[ʦ] : [s]	-0.009	0.968	-0.019	1636|13816
[ʣː] : [ʦː]	-0.009	0.966	-0.019	1473|3356
[j] : [tːʲ]	-0.012	0.515	-0.025	7360|22
[t] : [tʲ]	-0.016	0.685	-0.032	15698|71
[kʲ] : [j]	-0.017	0.874	-0.035	1096|7360
[-] : [kː]	-0.023	0.968	-0.048	0|4560
[l] : [ḙ]	-0.024	0.484	-0.051	19045|5
[n] : [ɲ]	-0.025	0.728	-0.052	24546|81
[ʦː] : [ʦ]	-0.026	0.965	-0.053	3356|1636
[ɲː] : [ɲ]	-0.027	0.725	-0.057	2289|81
[k] : [-]	-0.029	0.929	-0.061	10703|0
[ʣ] : [ʦ]	-0.033	0.960	-0.068	800|1636
[s] : [z]	-0.033	0.957	-0.069	13816|1316
[l] : [ʎ]	-0.035	0.643	-0.074	19045|24
[x] : [k]	-0.049	0.738	-0.105	333|10703
[h] : [k]	-0.055	0.847	-0.119	1996|10703
[j] : [tʲ]	-0.059	0.677	-0.129	7360|71
[kːʲ] : [j]	-0.070	0.891	-0.152	1170|7360
[gʲ] : [dʲ]	-0.069	0.600	-0.157	529|22
[-] : [g]	-0.092	0.948	-0.204	0|7182
[d] : [dʲ]	-0.099	0.625	-0.234	6797|22
