CORR	DIST	REPR	CHAR	FREQ
[ʎ] : [l]	-0.017	0.694	-0.035	24|19175
[j:] : [-]	-0.018	0.639	-0.037	32|0
[dʒː] : [dʒ]	-0.028	0.981	-0.058	1272|1186
[kʲ] : [tʲ]	-0.029	0.687	-0.060	1103|75
[θ] : [d]	-0.029	0.936	-0.060	3654|6844
[ʒ] : [z]	-0.035	0.957	-0.072	568|1325
[ʃ] : [ʒ]	-0.044	0.925	-0.093	3427|568
[n] : [ɲ]	-0.046	0.753	-0.098	24711|82
[j] : [j:]	-0.046	0.585	-0.100	7339|32
[r] : [ʎ]	-0.048	0.704	-0.104	26980|24
[j] : [dʲ]	-0.051	0.643	-0.111	7339|22
[r] : [rː]	-0.053	0.958	-0.111	26980|545
[dʲ] : [d]	-0.055	0.700	-0.120	22|6844
[dzː] : [tsː]	-0.072	0.968	-0.155	1485|3376
[tʲ] : [t]	-0.071	0.735	-0.157	75|15823
[n] : [ŋ]	-0.072	0.659	-0.161	24711|27
[k] : [tʲ]	-0.073	0.703	-0.163	10764|75
[z] : [s]	-0.076	0.956	-0.165	1325|13908
[b] : [bː]	-0.079	0.981	-0.171	9197|454
[ʎː] : [gʲː]	-0.077	0.613	-0.176	2527|17
[j] : [-]	-0.088	0.921	-0.194	7339|0
[g] : [gʲ]	-0.093	0.934	-0.205	7232|534
[ɖ] : [lː]	-0.091	0.721	-0.207	9|6355
[gʲ] : [dʲ]	-0.097	0.646	-0.228	534|22
[m] : [mː]	-0.108	0.995	-0.241	10715|433
[k] : [kʲ]	-0.109	0.917	-0.247	10764|1103
[kː] : [kʲː]	-0.113	0.932	-0.257	4585|1177
[b] : [β]	-0.113	0.748	-0.267	9197|238
[s] : [ʃ]	-0.118	0.920	-0.272	13908|3427
[ts] : [s]	-0.126	0.957	-0.290	1649|13908
[j:] : [ʎː]	-0.127	0.658	-0.315	32|2527
[d] : [dː]	-0.130	0.587	-0.333	6844|15
[x] : [h]	-0.139	0.627	-0.357	357|1996
[gʲ] : [d]	-0.155	0.951	-0.370	534|6844
[dz] : [ts]	-0.159	0.975	-0.381	805|1649
[g] : [dʲ]	-0.156	0.644	-0.413	7232|22
[g] : [ɣ]	-0.179	0.733	-0.474	7232|785
[d] : [ð]	-0.178	0.710	-0.476	6844|775
[k] : [x]	-0.185	0.697	-0.504	10764|357
[ʒ] : [dʒ]	-0.203	0.971	-0.513	568|1186
[ʃ] : [tʃ]	-0.221	0.941	-0.577	3427|8213
[k] : [h]	-0.298	0.838	-0.927	10764|1996
[p] : [ɸ]	-0.332	0.795	-1.141	12518|1666
[t] : [θ]	-0.404	0.762	-1.720	15823|3654
