CORR	DIST	REPR	CHAR	FREQ
[dzː] : [tsː]	-0.047	0.972	-0.099	1485|3376
[-] : [j]	-0.053	0.922	-0.112	0|7339
[h] : [x]	-0.053	0.615	-0.117	1996|357
[kʲ] : [k]	-0.057	0.861	-0.121	1103|10764
[ts] : [dz]	-0.061	0.984	-0.131	1649|805
[s] : [ts]	-0.068	0.967	-0.147	13908|1649
[tʲ] : [t]	-0.074	0.816	-0.163	75|15823
[tsː] : [sː]	-0.081	0.985	-0.177	3376|1396
[kʲː] : [kː]	-0.082	0.885	-0.180	1177|4585
[i] : [i̞]	-0.082	0.648	-0.189	26362|4
[x] : [k]	-0.091	0.773	-0.205	357|10764
[sː] : [ts]	-0.095	0.965	-0.211	1396|1649
[r] : [rː]	-0.115	0.970	-0.262	26980|545
[ɣ] : [g]	-0.115	0.813	-0.267	785|7232
[dz] : [z]	-0.123	0.962	-0.281	805|1325
[ɲ] : [n]	-0.130	0.851	-0.307	82|24711
[ʎː] : [ʎ]	-0.126	0.677	-0.308	2527|24
[kʲ] : [tʲ]	-0.141	0.666	-0.358	1103|75
[h] : [k]	-0.148	0.831	-0.361	1996|10764
[β] : [b]	-0.155	0.862	-0.377	238|9197
[gʲ] : [g]	-0.158	0.900	-0.383	534|7232
[ɸ] : [p]	-0.203	0.768	-0.551	1666|12518
[dzː] : [dz]	-0.235	0.977	-0.619	1485|805
[ɲː] : [ɲ]	-0.232	0.752	-0.673	2303|82
[θ] : [t]	-0.249	0.745	-0.748	3654|15823
[-] : [dʲ]	-0.240	0.633	-0.774	0|22
[ð] : [d]	-0.264	0.815	-0.780	775|6844
[tʃ] : [ʃ]	-0.367	0.901	-1.239	8213|3427
[dʒ] : [ʒ]	-0.381	0.932	-1.287	1186|568
