CORR	DIST	REPR	IDIO
[j] -> [tʲ]	-0.004	0.491	-0.008
[dʲ] -> [gʲ]	-0.010	0.410	-0.021
[kːʲ] -> [kː]	-0.011	0.663	-0.022
[ʦː] -> [ʣː]	-0.011	0.655	-0.022
[ʣː] -> [ʣ]	-0.011	0.648	-0.023
[rː] -> [r]	-0.012	0.648	-0.024
[s] -> [z]	-0.012	0.643	-0.025
[ʎː] -> [gːʲ]	-0.014	0.350	-0.029
[ɲ] -> [ɲː]	-0.015	0.456	-0.031
[kʲ] -> [j]	-0.020	0.631	-0.042
[kʲ] -> [tʲ]	-0.020	0.485	-0.042
[ʦ] -> [ʦː]	-0.021	0.670	-0.043
[m] -> [mː]	-0.021	0.693	-0.044
[t] -> [dː]	-0.022	0.417	-0.046
[b] -> [bː]	-0.031	0.676	-0.064
[n] -> [ɲ]	-0.033	0.555	-0.069
[s] -> [ʃ]	-0.033	0.648	-0.070
[gʲ] -> [j]	-0.033	0.658	-0.070
[kːʲ] -> [tːʲ]	-0.033	0.414	-0.072
[kːʲ] -> [j]	-0.036	0.645	-0.076
[ʣ] -> [z]	-0.036	0.651	-0.076
[h] -> [x]	-0.041	0.438	-0.090
[s] -> [ʦ]	-0.048	0.691	-0.103
[d] -> [dʲ]	-0.046	0.404	-0.104
[n] -> [ŋ]	-0.047	0.417	-0.106
[ʦ] -> [ʣ]	-0.051	0.652	-0.112
[sː] -> [ʦː]	-0.054	0.694	-0.116
[l] -> [ʎ]	-0.054	0.490	-0.121
[ɲ] -> [nː]	-0.054	0.443	-0.122
[gʲ] -> [ʤ]	-0.059	0.655	-0.129
[sː] -> [ʦ]	-0.066	0.693	-0.146
[ʎ] -> [ʎː]	-0.063	0.336	-0.156
[β] -> [b]	-0.071	0.566	-0.161
[ʃ] -> [ʒ]	-0.076	0.650	-0.172
[dʲ] -> [g]	-0.084	0.425	-0.210
[ʎ] -> [gːʲ]	-0.073	0.228	-0.215
[ʧ] -> [ʃ]	-0.094	0.650	-0.220
[ɣ] -> [g]	-0.107	0.592	-0.261
[θ] -> [dː]	-0.100	0.406	-0.266
[ð] -> [d]	-0.114	0.592	-0.283
[x] -> [k]	-0.122	0.452	-0.334
[ʤ] -> [ʒ]	-0.149	0.674	-0.383
[ɸ] -> [p]	-0.157	0.643	-0.414
[h] -> [k]	-0.180	0.644	-0.498
[θ] -> [t]	-0.189	0.653	-0.532
