CORR	DIST	REPR	IDIO
[ɲ] -> [ɲː]	0.345	0.503	0.410
[ʦ] -> [sː]	0.199	0.647	0.305
[gːʲ] -> [ʤː]	0.242	0.386	0.298
[tː] -> [dː]	0.254	0.320	0.283
[ʃ] -> [ʧ]	0.179	0.635	0.279
[t] -> [θ]	0.211	0.377	0.271
[ʒ] -> [ʤ]	0.169	0.672	0.270
[k] -> [h]	0.180	0.505	0.265
[θ] -> [h]	0.166	0.486	0.248
[p] -> [ɸ]	0.171	0.429	0.244
[sː] -> [ʦː]	0.119	0.689	0.203
[k] -> [x]	0.120	0.529	0.195
[dʲ] -> [d]	0.120	0.445	0.189
[ʃ] -> [ʒ]	0.109	0.637	0.187
[ʣ] -> [ʦ]	0.107	0.705	0.186
[l] -> [r]	0.103	0.659	0.178
[s] -> [ʃ]	0.100	0.643	0.173
[bː] -> [β]	0.110	0.400	0.172
[g] -> [dʲ]	0.110	0.370	0.170
[g] -> [ɣ]	0.108	0.393	0.170
[d] -> [ð]	0.106	0.364	0.164
[ʦ] -> [s]	0.094	0.647	0.164
[v] -> [vː]	0.083	0.376	0.136
[z] -> [ʣ]	0.069	0.660	0.126
[b] -> [β]	0.073	0.397	0.124
[m] -> [mː]	0.063	0.700	0.115
[h] -> [g]	0.063	0.654	0.114
[ʣ] -> [ʣː]	0.062	0.651	0.114
[j] -> [kːʲ]	0.063	0.596	0.113
[β] -> [ɸ]	0.062	0.386	0.106
[θ] -> [d]	0.057	0.648	0.106
[x] -> [h]	0.058	0.347	0.099
[ʃː] -> [ʃ]	0.053	0.655	0.098
[ʣː] -> [ʦː]	0.050	0.662	0.093
[j] -> [kʲ]	0.048	0.587	0.089
[gʲ] -> [dʲ]	0.049	0.374	0.087
[ʤ] -> [gʲ]	0.046	0.651	0.086
[n] -> [ɲ]	0.042	0.645	0.079
[n] -> [õ]	0.046	0.250	0.078
[ʤ] -> [dʲ]	0.039	0.375	0.070
[ʒ] -> [ʤː]	0.036	0.695	0.068
[r] -> [ʎ]	0.032	0.643	0.061
[ʎː] -> [j]	0.031	0.674	0.059
[z] -> [s]	0.030	0.651	0.058
[n] -> [ŋ]	0.057	0.051	0.054
[ʤː] -> [ʤ]	0.025	0.690	0.047
[ʒ] -> [z]	0.023	0.651	0.045
[ʦː] -> [ʦ]	0.023	0.709	0.045
[tʲ] -> [kʲ]	0.021	0.448	0.040
[r] -> [rː]	0.019	0.639	0.037
[b] -> [bː]	0.018	0.656	0.035
[j] -> [gʲ]	0.016	0.633	0.031
[ɸ] -> [pː]	0.012	0.654	0.024
[g] -> [gʲ]	0.008	0.637	0.017
[kː] -> [kːʲ]	0.002	0.611	0.005
