CORR	DIST	REPR	IDIO
[kːʲ] -> [j]	-0.023	0.639	-0.048
[kː] -> [kːʲ]	-0.025	0.625	-0.053
[z] -> [s]	-0.027	0.646	-0.056
[n] -> [ɲ]	-0.031	0.606	-0.066
[ʃ] -> [s]	-0.033	0.645	-0.069
[ŋ] -> [n]	-0.030	0.169	-0.073
[ʦː] -> [ʣː]	-0.035	0.655	-0.074
[gʲ] -> [j]	-0.035	0.649	-0.074
[gʲ] -> [dʲ]	-0.035	0.502	-0.076
[ɲ] -> [nː]	-0.036	0.446	-0.079
[r] -> [rː]	-0.041	0.639	-0.088
[d] -> [dʲ]	-0.043	0.492	-0.094
[gʲ] -> [ʤ]	-0.057	0.648	-0.125
[b] -> [bː]	-0.060	0.677	-0.131
[ʎ] -> [ʎː]	-0.062	0.457	-0.144
[gːʲ] -> [ʎː]	-0.060	0.333	-0.147
[kʲ] -> [tʲ]	-0.072	0.560	-0.165
[s] -> [ʦ]	-0.074	0.693	-0.166
[dʲ] -> [g]	-0.070	0.407	-0.170
[β] -> [b]	-0.079	0.558	-0.185
[ʦ] -> [ʣ]	-0.083	0.656	-0.191
[sː] -> [ʦ]	-0.088	0.696	-0.200
[z] -> [ʒ]	-0.098	0.646	-0.230
[ɣ] -> [g]	-0.100	0.580	-0.243
[ð] -> [d]	-0.110	0.582	-0.272
[β] -> [bː]	-0.113	0.558	-0.282
[x] -> [k]	-0.112	0.459	-0.298
[ɸ] -> [p]	-0.142	0.628	-0.368
[d] -> [dː]	-0.126	0.338	-0.403
[h] -> [k]	-0.162	0.631	-0.436
[θ] -> [t]	-0.172	0.634	-0.473
[ʧ] -> [ʃ]	-0.174	0.660	-0.474
[ʤ] -> [ʒ]	-0.205	0.670	-0.590
