CORR	DIST	REPR	IDIO
[ʧ] -> [ʃ]	-0.057	0.643	-0.125
[kʲ] -> [tʲ]	-0.062	0.501	-0.141
[β] -> [b]	-0.069	0.585	-0.157
[ɣ] -> [g]	-0.079	0.596	-0.181
[ɲː] -> [ɲ]	-0.089	0.590	-0.211
[sː] -> [ʦ]	-0.099	0.696	-0.231
[ʤ] -> [ʒ]	-0.101	0.666	-0.237
[ð] -> [d]	-0.146	0.645	-0.377
[ɸ] -> [p]	-0.154	0.659	-0.401
[x] -> [k]	-0.165	0.478	-0.502
[θ] -> [t]	-0.191	0.661	-0.537
[h] -> [k]	-0.202	0.648	-0.588
[ʎː] -> [ʎ]	-0.191	0.438	-0.677
