CORR	DIST	REPR	IDIO
[h] -> [k]	-0.009	0.563	-0.018
[ʦ] -> [ʣ]	-0.013	0.656	-0.027
[β] -> [b]	-0.015	0.557	-0.031
[t] -> [θ]	-0.020	0.574	-0.041
[s] -> [ʦ]	-0.022	0.666	-0.047
[kʲ] -> [tʲ]	-0.024	0.486	-0.051
[g] -> [ɣ]	-0.025	0.555	-0.052
[x] -> [h]	-0.029	0.462	-0.061
[j] -> [tʲ]	-0.031	0.522	-0.067
[d] -> [θ]	-0.035	0.572	-0.074
[s] -> [ʃ]	-0.043	0.660	-0.092
[j] -> [kːʲ]	-0.044	0.671	-0.094
[ʒ] -> [ʃ]	-0.045	0.658	-0.096
[kː] -> [kːʲ]	-0.051	0.677	-0.111
[gʲ] -> [j]	-0.067	0.639	-0.151
[rː] -> [r]	-0.072	0.665	-0.162
[j] -> [kʲ]	-0.081	0.654	-0.184
[ʧ] -> [ʃ]	-0.124	0.662	-0.306
[z] -> [s]	-0.126	0.656	-0.312
[n] -> [ɲ]	-0.121	0.417	-0.342
[ʎ] -> [ʎː]	-0.135	0.499	-0.369
[ɲ] -> [ɲː]	-0.136	0.338	-0.457
[ʤ] -> [ʒ]	-0.183	0.673	-0.504
