CORR	DIST	REPR	IDIO
[tʲ] -> [j]	-0.002	0.473	-0.003
[ʎː] -> [gːʲ]	-0.008	0.332	-0.016
[b] -> [bː]	-0.009	0.673	-0.019
[kːʲ] -> [kː]	-0.012	0.666	-0.024
[ʦː] -> [ʣː]	-0.012	0.651	-0.024
[s] -> [z]	-0.012	0.644	-0.025
[t] -> [dː]	-0.014	0.402	-0.030
[ɲ] -> [ɲː]	-0.015	0.471	-0.030
[gʲ] -> [dʲ]	-0.016	0.446	-0.034
[n] -> [ɲ]	-0.021	0.537	-0.043
[d] -> [dʲ]	-0.025	0.435	-0.053
[h] -> [x]	-0.025	0.416	-0.054
[ʦ] -> [ʦː]	-0.026	0.669	-0.054
[kʲ] -> [j]	-0.030	0.635	-0.062
[ɲ] -> [nː]	-0.032	0.456	-0.069
[rː] -> [r]	-0.033	0.652	-0.070
[s] -> [ʃ]	-0.035	0.647	-0.074
[kːʲ] -> [j]	-0.039	0.649	-0.084
[ɸ] -> [β]	-0.039	0.380	-0.086
[n] -> [ŋ]	-0.042	0.401	-0.095
[kʲ] -> [tʲ]	-0.045	0.505	-0.099
[ʣː] -> [ʣ]	-0.053	0.652	-0.115
[l] -> [ʎ]	-0.052	0.472	-0.116
[s] -> [ʦ]	-0.055	0.690	-0.119
[gʲ] -> [j]	-0.055	0.663	-0.120
[ʦ] -> [ʣ]	-0.055	0.654	-0.120
[gʲ] -> [ʤ]	-0.057	0.656	-0.125
[β] -> [bː]	-0.061	0.561	-0.138
[β] -> [b]	-0.065	0.564	-0.147
[sː] -> [ʦ]	-0.067	0.690	-0.148
[ʎ] -> [ʎː]	-0.066	0.339	-0.164
[ʃ] -> [ʒ]	-0.081	0.652	-0.184
[ʎ] -> [gːʲ]	-0.073	0.221	-0.219
[ʧ] -> [ʃ]	-0.104	0.650	-0.248
[ɣ] -> [g]	-0.108	0.596	-0.264
[θ] -> [dː]	-0.101	0.393	-0.273
[ð] -> [d]	-0.114	0.596	-0.282
[dʲ] -> [g]	-0.111	0.408	-0.307
[x] -> [k]	-0.136	0.455	-0.388
[ɸ] -> [p]	-0.166	0.650	-0.446
[ʤ] -> [ʒ]	-0.174	0.674	-0.468
[h] -> [k]	-0.189	0.646	-0.533
[θ] -> [t]	-0.200	0.660	-0.572
